Registro,Prediccion
12,0.32379162
13,0.2677925
14,0.24372248
15,0.23237748
16,0.24240479
17,0.2514428
18,0.2413269
19,0.25034934
20,0.25597227
21,0.2887355
22,0.35006115
23,0.45198965
24,0.51168317
25,0.58529896
26,0.54813564
27,0.5767381
28,0.5690399
29,0.5604132
30,0.5226902
31,0.46073428
32,0.3850522
33,0.35578644
34,0.38547635
35,0.41282287
36,0.43737656
37,0.4413904
38,0.4193184
39,0.41818
40,0.441647
41,0.45145446
42,0.43757153
43,0.39492166
44,0.38549232
45,0.3794302
46,0.38058594
47,0.40675116
48,0.38934505
49,0.3998166
50,0.3943124
51,0.41041172
52,0.4197388
53,0.42607656
54,0.39304087
55,0.35769275
56,0.33237132
57,0.34310785
58,0.38840958
59,0.45246017
60,0.47437936
61,0.4315306
62,0.41056192
63,0.43263176
64,0.45015267
65,0.4692235
66,0.46346673
67,0.45580143
68,0.4221553
69,0.39663634
70,0.41372633
71,0.4575407
72,0.46683246
73,0.43267393
74,0.40693423
75,0.42636377
76,0.43095076
77,0.4039159
78,0.37991375
79,0.35840106
80,0.3512781
81,0.34369937
82,0.34444636
83,0.36646098
84,0.37960386
85,0.37889597
86,0.4023353
87,0.43783242
88,0.46242723
89,0.47155887
90,0.47702152
91,0.42882103
92,0.39250875
93,0.35922047
94,0.38233653
95,0.41207117
96,0.38963223
97,0.39227396
98,0.37748435
99,0.41263646
100,0.4233316
101,0.40813985
102,0.40128726
103,0.38483945
104,0.36070454
105,0.34802538
106,0.33804712
107,0.3354451
108,0.3320803
109,0.28901827
110,0.2742505
111,0.26323944
112,0.25777227
113,0.2761976
114,0.27432746
115,0.2687981
116,0.27584365
117,0.29363716
118,0.34364203
119,0.44950518
120,0.53694916
121,0.5761689
122,0.66686344
123,0.724428
124,0.77789545
125,0.8240283
126,0.85674137
127,0.86255825
128,0.87517506
129,0.88316447
130,0.90101665
131,0.9147381
132,0.91671425
133,0.9046112
134,0.90100396
135,0.9042764
136,0.9039204
137,0.8904301
138,0.86186206
139,0.8105352
140,0.7107657
141,0.57283133
142,0.49634808
143,0.43815276
144,0.40093726
145,0.35393968
146,0.3281492
147,0.31674364
148,0.32133865
149,0.35468385
150,0.37912697
151,0.4146233
152,0.436028
153,0.47738448
154,0.5147094
155,0.55622184
156,0.5486597
157,0.5537726
158,0.51602364
159,0.5036832
160,0.50615346
161,0.48980036
162,0.47671804
163,0.4762968
164,0.43867055
165,0.41903374
166,0.4285646
167,0.4479109
168,0.43474427
169,0.47847214
170,0.4642409
171,0.47139335
172,0.48254082
173,0.47340775
174,0.46765658
175,0.4591414
176,0.43313402
177,0.4172699
178,0.3945834
179,0.3954273
180,0.39544392
181,0.40921003
182,0.41315806
183,0.42572877
184,0.47489852
185,0.48918578
186,0.4973212
187,0.4953649
188,0.48733616
189,0.48461652
190,0.4933316
191,0.5188546
192,0.5126531
193,0.4939924
194,0.4494395
195,0.46705616
196,0.51214844
197,0.5398262
198,0.56194997
199,0.571376
200,0.57227284
201,0.560924
202,0.535298
203,0.52124906
204,0.49478447
205,0.4807715
206,0.4507039
207,0.4451704
208,0.4428521
209,0.43159238
210,0.39516014
211,0.38453054
212,0.3768412
213,0.3648797
214,0.37034664
215,0.38784838
216,0.382378
217,0.38735795
218,0.41666257
