Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Probabilidad,Prediccion,Correcto
102,Bogota_Sabana,2023-07-01,2024-06-01,2024-07-01,Prueba,102,0,0.47169700264930725,0,True
103,Bogota_Sabana,2023-08-01,2024-07-01,2024-08-01,Prueba,103,0,0.4659251272678375,0,True
104,Bogota_Sabana,2023-09-01,2024-08-01,2024-09-01,Prueba,104,0,0.4481181204319,0,True
105,Bogota_Sabana,2023-10-01,2024-09-01,2024-10-01,Prueba,105,0,0.42375096678733826,0,True
106,Bogota_Sabana,2023-11-01,2024-10-01,2024-11-01,Prueba,106,0,0.4250108599662781,0,True
107,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01,Prueba,107,0,0.43197888135910034,0,True
108,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01,Prueba,108,0,0.40384241938591003,0,True
109,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01,Prueba,109,0,0.3853062093257904,0,True
110,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01,Prueba,110,0,0.35430628061294556,0,True
111,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01,Prueba,111,0,0.29520437121391296,0,True
112,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01,Prueba,112,0,0.2502378523349762,0,True
113,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01,Prueba,113,0,0.2679481506347656,0,True
114,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01,Prueba,114,0,0.2521132826805115,0,True
115,Bogota_Sabana,2024-08-01,2025-07-01,2025-08-01,Prueba,115,0,0.24730615317821503,0,True
116,Bogota_Sabana,2024-09-01,2025-08-01,2025-09-01,Prueba,116,0,0.21735234558582306,0,True
117,Bogota_Sabana,2024-10-01,2025-09-01,2025-10-01,Prueba,117,0,0.19181452691555023,0,True
118,Bogota_Sabana,2024-11-01,2025-10-01,2025-11-01,Prueba,118,0,0.1769893616437912,0,True
119,Bogota_Sabana,2024-12-01,2025-11-01,2025-12-01,Prueba,119,0,0.18306083977222443,0,True
222,Sopo_Sur,2023-07-01,2024-06-01,2024-07-01,Prueba,222,0,0.20189960300922394,0,True
223,Sopo_Sur,2023-08-01,2024-07-01,2024-08-01,Prueba,223,0,0.15693311393260956,0,True
224,Sopo_Sur,2023-09-01,2024-08-01,2024-09-01,Prueba,224,0,0.1327698975801468,0,True
225,Sopo_Sur,2023-10-01,2024-09-01,2024-10-01,Prueba,225,0,0.11608219891786575,0,True
226,Sopo_Sur,2023-11-01,2024-10-01,2024-11-01,Prueba,226,0,0.10827650129795074,0,True
227,Sopo_Sur,2023-12-01,2024-11-01,2024-12-01,Prueba,227,0,0.09860359132289886,0,True
228,Sopo_Sur,2024-01-01,2024-12-01,2025-01-01,Prueba,228,0,0.08637279272079468,0,True
229,Sopo_Sur,2024-02-01,2025-01-01,2025-02-01,Prueba,229,0,0.07646994292736053,0,True
230,Sopo_Sur,2024-03-01,2025-02-01,2025-03-01,Prueba,230,0,0.07006742805242538,0,True
231,Sopo_Sur,2024-04-01,2025-03-01,2025-04-01,Prueba,231,0,0.0670916736125946,0,True
232,Sopo_Sur,2024-05-01,2025-04-01,2025-05-01,Prueba,232,0,0.06383371353149414,0,True
233,Sopo_Sur,2024-06-01,2025-05-01,2025-06-01,Prueba,233,0,0.07403864711523056,0,True
234,Sopo_Sur,2024-07-01,2025-06-01,2025-07-01,Prueba,234,0,0.08172294497489929,0,True
235,Sopo_Sur,2024-08-01,2025-07-01,2025-08-01,Prueba,235,0,0.08300832659006119,0,True
236,Sopo_Sur,2024-09-01,2025-08-01,2025-09-01,Prueba,236,0,0.077778160572052,0,True
237,Sopo_Sur,2024-10-01,2025-09-01,2025-10-01,Prueba,237,0,0.07082046568393707,0,True
238,Sopo_Sur,2024-11-01,2025-10-01,2025-11-01,Prueba,238,0,0.06598806381225586,0,True
239,Sopo_Sur,2024-12-01,2025-11-01,2025-12-01,Prueba,239,0,0.06111609935760498,0,True
342,Tocancipa_Media,2023-07-01,2024-06-01,2024-07-01,Prueba,342,0,0.25990694761276245,0,True
343,Tocancipa_Media,2023-08-01,2024-07-01,2024-08-01,Prueba,343,0,0.20230792462825775,0,True
344,Tocancipa_Media,2023-09-01,2024-08-01,2024-09-01,Prueba,344,0,0.17202889919281006,0,True
345,Tocancipa_Media,2023-10-01,2024-09-01,2024-10-01,Prueba,345,0,0.15716440975666046,0,True
346,Tocancipa_Media,2023-11-01,2024-10-01,2024-11-01,Prueba,346,0,0.14239685237407684,0,True
347,Tocancipa_Media,2023-12-01,2024-11-01,2024-12-01,Prueba,347,0,0.12774738669395447,0,True
348,Tocancipa_Media,2024-01-01,2024-12-01,2025-01-01,Prueba,348,0,0.10590828210115433,0,True
349,Tocancipa_Media,2024-02-01,2025-01-01,2025-02-01,Prueba,349,0,0.10555890202522278,0,True
350,Tocancipa_Media,2024-03-01,2025-02-01,2025-03-01,Prueba,350,0,0.09961133450269699,0,True
351,Tocancipa_Media,2024-04-01,2025-03-01,2025-04-01,Prueba,351,0,0.08968745917081833,0,True
352,Tocancipa_Media,2024-05-01,2025-04-01,2025-05-01,Prueba,352,0,0.08043017983436584,0,True
353,Tocancipa_Media,2024-06-01,2025-05-01,2025-06-01,Prueba,353,0,0.08860930800437927,0,True
354,Tocancipa_Media,2024-07-01,2025-06-01,2025-07-01,Prueba,354,0,0.0881536602973938,0,True
355,Tocancipa_Media,2024-08-01,2025-07-01,2025-08-01,Prueba,355,0,0.08147861808538437,0,True
356,Tocancipa_Media,2024-09-01,2025-08-01,2025-09-01,Prueba,356,0,0.07238783687353134,0,True
357,Tocancipa_Media,2024-10-01,2025-09-01,2025-10-01,Prueba,357,0,0.06781670451164246,0,True
358,Tocancipa_Media,2024-11-01,2025-10-01,2025-11-01,Prueba,358,0,0.06832334399223328,0,True
359,Tocancipa_Media,2024-12-01,2025-11-01,2025-12-01,Prueba,359,0,0.06823158264160156,0,True
462,Villapinzon_Alta,2023-07-01,2024-06-01,2024-07-01,Prueba,462,0,0.2906552851200104,0,True
463,Villapinzon_Alta,2023-08-01,2024-07-01,2024-08-01,Prueba,463,0,0.26964831352233887,0,True
464,Villapinzon_Alta,2023-09-01,2024-08-01,2024-09-01,Prueba,464,0,0.2752809524536133,0,True
465,Villapinzon_Alta,2023-10-01,2024-09-01,2024-10-01,Prueba,465,0,0.2693561613559723,0,True
466,Villapinzon_Alta,2023-11-01,2024-10-01,2024-11-01,Prueba,466,0,0.2785479724407196,0,True
