Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
0,Bogota_Sabana,2018-01-01,2018-12-01,2019-01-01,Train,0,375310880.0,391655954.7980399,-16345074.798039913,16345074.798039913,4.355076196575999
1,Bogota_Sabana,2018-02-01,2019-01-01,2019-02-01,Train,1,349228900.0,387740335.25246346,-38511439.25246346,38511439.25246346,11.027563782254564
2,Bogota_Sabana,2018-03-01,2019-02-01,2019-03-01,Train,2,322214620.0,383204223.0756946,-60989599.07569462,60989599.07569462,18.92825295095688
3,Bogota_Sabana,2018-04-01,2019-03-01,2019-04-01,Train,3,308249470.0,379963108.8156256,-71713636.81562561,71713636.81562561,23.264804429454337
4,Bogota_Sabana,2018-05-01,2019-04-01,2019-05-01,Train,4,307606180.0,379815875.9444155,-72209699.94441551,72209699.94441551,23.474723714394965
5,Bogota_Sabana,2018-06-01,2019-05-01,2019-06-01,Train,5,321782800.0,378396803.5798166,-56614019.57981658,56614019.57981658,17.593862193639477
6,Bogota_Sabana,2018-07-01,2019-06-01,2019-07-01,Train,6,366243800.0,381684546.47013247,-15440738.47013247,15440738.47013247,4.2159725660488085
7,Bogota_Sabana,2018-08-01,2019-07-01,2019-08-01,Train,7,390054880.0,383813608.80111873,6241271.1988812685,6241271.1988812685,1.6001007855308127
8,Bogota_Sabana,2018-09-01,2019-08-01,2019-09-01,Train,8,399258660.0,390213970.9674567,9044685.032543302,9044685.032543302,2.2653698039156103
9,Bogota_Sabana,2018-10-01,2019-09-01,2019-10-01,Train,9,392567870.0,390578640.50392365,1989231.4960763454,1989231.4960763454,0.5067229485545739
10,Bogota_Sabana,2018-11-01,2019-10-01,2019-11-01,Train,10,385040670.0,387003643.02512705,-1962971.0251270533,1962971.0251270533,0.509808746938571
11,Bogota_Sabana,2018-12-01,2019-11-01,2019-12-01,Train,11,381478340.0,387161170.92989385,-5682834.929893851,5682834.929893851,1.4896874589213505
12,Bogota_Sabana,2019-01-01,2019-12-01,2020-01-01,Train,12,365105630.0,391017477.4995309,-25911845.49953091,25911845.49953091,7.097081838368057
