Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
71,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01,Prueba,71,492346400.0,397941097.4801242,94405302.51987582,94405302.51987582,19.1745694738249
72,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01,Prueba,72,478472860.0,402261095.7568172,76211768.24318278,76211768.24318278,15.928127586182772
73,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01,Prueba,73,453861340.0,403138561.3777873,50722782.62221271,50722782.62221271,11.1758322872751
74,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01,Prueba,74,431913250.0,404297965.8307809,27615282.169219077,27615282.169219077,6.393710379825875
75,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01,Prueba,75,410084320.0,409308976.9467879,775343.0532121062,775343.0532121062,0.18906917806857532
76,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01,Prueba,76,404057540.0,409134475.35626054,-5076939.356260538,5076939.356260538,1.2564892135214472
77,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01,Prueba,77,420179940.0,410289084.20666635,9890851.79333365,9890851.79333365,2.3539562330110044
78,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01,Prueba,78,431375580.0,412379216.80206543,18996367.197934568,18996367.197934568,4.4036723223386165
79,Bogota_Sabana,2024-08-01,2025-07-01,2025-08-01,Prueba,79,436014400.0,413648202.39484763,22366197.60515237,22366197.60515237,5.129692415010231
80,Bogota_Sabana,2024-09-01,2025-08-01,2025-09-01,Prueba,80,420453920.0,416172115.9204606,4281804.079539418,4281804.079539418,1.0183765392268
81,Bogota_Sabana,2024-10-01,2025-09-01,2025-10-01,Prueba,81,406067140.0,418111179.7027984,-12044043.702798426,12044043.702798426,2.9660227669343886
82,Bogota_Sabana,2024-11-01,2025-10-01,2025-11-01,Prueba,82,415953200.0,416833594.5928557,-880378.5928556919,880378.5928556919,0.21165327228908645
