Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo
0,Bogota_Sabana,2018-01-01,2018-12-01,2019-01-01
1,Bogota_Sabana,2018-02-01,2019-01-01,2019-02-01
2,Bogota_Sabana,2018-03-01,2019-02-01,2019-03-01
3,Bogota_Sabana,2018-04-01,2019-03-01,2019-04-01
4,Bogota_Sabana,2018-05-01,2019-04-01,2019-05-01
5,Bogota_Sabana,2018-06-01,2019-05-01,2019-06-01
6,Bogota_Sabana,2018-07-01,2019-06-01,2019-07-01
7,Bogota_Sabana,2018-08-01,2019-07-01,2019-08-01
8,Bogota_Sabana,2018-09-01,2019-08-01,2019-09-01
9,Bogota_Sabana,2018-10-01,2019-09-01,2019-10-01
10,Bogota_Sabana,2018-11-01,2019-10-01,2019-11-01
11,Bogota_Sabana,2018-12-01,2019-11-01,2019-12-01
12,Bogota_Sabana,2019-01-01,2019-12-01,2020-01-01
13,Bogota_Sabana,2019-02-01,2020-01-01,2020-02-01
14,Bogota_Sabana,2019-03-01,2020-02-01,2020-03-01
15,Bogota_Sabana,2019-04-01,2020-03-01,2020-04-01
16,Bogota_Sabana,2019-05-01,2020-04-01,2020-05-01
17,Bogota_Sabana,2019-06-01,2020-05-01,2020-06-01
18,Bogota_Sabana,2019-07-01,2020-06-01,2020-07-01
19,Bogota_Sabana,2019-08-01,2020-07-01,2020-08-01
20,Bogota_Sabana,2019-09-01,2020-08-01,2020-09-01
21,Bogota_Sabana,2019-10-01,2020-09-01,2020-10-01
22,Bogota_Sabana,2019-11-01,2020-10-01,2020-11-01
23,Bogota_Sabana,2019-12-01,2020-11-01,2020-12-01
24,Bogota_Sabana,2020-01-01,2020-12-01,2021-01-01
25,Bogota_Sabana,2020-02-01,2021-01-01,2021-02-01
26,Bogota_Sabana,2020-03-01,2021-02-01,2021-03-01
27,Bogota_Sabana,2020-04-01,2021-03-01,2021-04-01
28,Bogota_Sabana,2020-05-01,2021-04-01,2021-05-01
29,Bogota_Sabana,2020-06-01,2021-05-01,2021-06-01
30,Bogota_Sabana,2020-07-01,2021-06-01,2021-07-01
31,Bogota_Sabana,2020-08-01,2021-07-01,2021-08-01
32,Bogota_Sabana,2020-09-01,2021-08-01,2021-09-01
33,Bogota_Sabana,2020-10-01,2021-09-01,2021-10-01
34,Bogota_Sabana,2020-11-01,2021-10-01,2021-11-01
35,Bogota_Sabana,2020-12-01,2021-11-01,2021-12-01
36,Bogota_Sabana,2021-01-01,2021-12-01,2022-01-01
37,Bogota_Sabana,2021-02-01,2022-01-01,2022-02-01
38,Bogota_Sabana,2021-03-01,2022-02-01,2022-03-01
39,Bogota_Sabana,2021-04-01,2022-03-01,2022-04-01
40,Bogota_Sabana,2021-05-01,2022-04-01,2022-05-01
41,Bogota_Sabana,2021-06-01,2022-05-01,2022-06-01
42,Bogota_Sabana,2021-07-01,2022-06-01,2022-07-01
43,Bogota_Sabana,2021-08-01,2022-07-01,2022-08-01
44,Bogota_Sabana,2021-09-01,2022-08-01,2022-09-01
45,Bogota_Sabana,2021-10-01,2022-09-01,2022-10-01
46,Bogota_Sabana,2021-11-01,2022-10-01,2022-11-01
47,Bogota_Sabana,2021-12-01,2022-11-01,2022-12-01
48,Bogota_Sabana,2022-01-01,2022-12-01,2023-01-01
49,Bogota_Sabana,2022-02-01,2023-01-01,2023-02-01
50,Bogota_Sabana,2022-03-01,2023-02-01,2023-03-01
51,Bogota_Sabana,2022-04-01,2023-03-01,2023-04-01
52,Bogota_Sabana,2022-05-01,2023-04-01,2023-05-01
53,Bogota_Sabana,2022-06-01,2023-05-01,2023-06-01
54,Bogota_Sabana,2022-07-01,2023-06-01,2023-07-01
55,Bogota_Sabana,2022-08-01,2023-07-01,2023-08-01
56,Bogota_Sabana,2022-09-01,2023-08-01,2023-09-01
57,Bogota_Sabana,2022-10-01,2023-09-01,2023-10-01
58,Bogota_Sabana,2022-11-01,2023-10-01,2023-11-01
59,Bogota_Sabana,2022-12-01,2023-11-01,2023-12-01
60,Bogota_Sabana,2023-01-01,2023-12-01,2024-01-01
61,Bogota_Sabana,2023-02-01,2024-01-01,2024-02-01
62,Bogota_Sabana,2023-03-01,2024-02-01,2024-03-01
63,Bogota_Sabana,2023-04-01,2024-03-01,2024-04-01
64,Bogota_Sabana,2023-05-01,2024-04-01,2024-05-01
65,Bogota_Sabana,2023-06-01,2024-05-01,2024-06-01
66,Bogota_Sabana,2023-07-01,2024-06-01,2024-07-01
67,Bogota_Sabana,2023-08-01,2024-07-01,2024-08-01
68,Bogota_Sabana,2023-09-01,2024-08-01,2024-09-01
69,Bogota_Sabana,2023-10-01,2024-09-01,2024-10-01
70,Bogota_Sabana,2023-11-01,2024-10-01,2024-11-01
71,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01
72,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01
73,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01
74,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01
75,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01
76,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01
77,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01
78,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01
79,Bogota_Sabana,2024-08-01,2025-07-01,2025-08-01
80,Bogota_Sabana,2024-09-01,2025-08-01,2025-09-01
81,Bogota_Sabana,2024-10-01,2025-09-01,2025-10-01
82,Bogota_Sabana,2024-11-01,2025-10-01,2025-11-01
83,Bogota_Sabana,2024-12-01,2025-11-01,2025-12-01
84,Sopo_Sur,2018-01-01,2018-12-01,2019-01-01
85,Sopo_Sur,2018-02-01,2019-01-01,2019-02-01
86,Sopo_Sur,2018-03-01,2019-02-01,2019-03-01
87,Sopo_Sur,2018-04-01,2019-03-01,2019-04-01
