,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
Precipitacion_mm,1.0,-0.2820186709293169,0.10549513441168241,-0.10130671956959698,0.5674624005718127,-0.10258977305177495,-0.424983687244536,0.06866410609952918,0.07127110478576469,-0.03855133467318509,0.053025711906127315,-0.14958013271133996,-0.14846924169386622,-0.13755446995284593,0.10122409360522729,0.08740001468002963,-0.08026964631118289,0.09090652604955818,0.07523638501381925,0.05490171626547605,-0.14918050233703553,,0.07240075620425043,0.1953477853963362,-0.07992761053151042,-0.3794558619967454,-0.021455951077568456,-0.10846766064048577,-0.3655929498101121,-0.36886093571714523,0.16113045368517584,-0.24152727400009172,-0.09301184577929325,0.03011242743808459,-0.14235641126881443
Temp_Max_C,-0.2820186709293169,1.0,0.7628590961163014,0.9413415958248187,-0.7636722500185221,-0.09954136955647813,0.4234305561668253,0.020072072571254602,-0.13582942924057997,0.07572001857998817,-0.01778843880673666,0.22294835292412513,0.742010982005294,0.7803979883098209,-0.0181756077518956,0.5620644277437404,0.2983554071240889,0.515434645808221,0.6464144385323348,0.02729644442160151,-0.17631389764579275,,0.009434772037401883,0.4517014071659752,0.26009675687083067,0.6754409107655281,-0.28708489542854404,0.39514565718704003,0.6593333340934094,0.6773555802449812,-0.8452082831174603,0.3003575509374064,0.8120301126283962,0.2915271996487829,-0.10883080969910734
Temp_Min_C,0.10549513441168241,0.7628590961163014,1.0,0.8997748396828731,-0.27436943033339906,-0.2478781586711235,0.1910191235158148,0.03956378221170877,-0.009995917219118813,0.02686422214390575,-0.02095079859119617,-0.049877484732163885,0.45491879113613964,0.5217972859808142,0.10680196313697461,0.6592220128201636,0.2810356290728263,0.6083160900901904,0.7539169551178727,-0.016227378557112992,-0.3248649429406845,,0.007097573680432634,0.6579877652609201,0.12328973861871034,0.2672309711917507,-0.29822791960544387,0.12254006007232042,0.30836255475324914,0.27360806638951196,-0.6220767992510715,0.2903348421876958,0.7131558014089412,0.3890693718388068,-0.30317948856566224
Temp_Media_C,-0.10130671956959698,0.9413415958248187,0.8997748396828731,1.0,-0.5679169476707837,-0.1621828353382299,0.3674625890144806,0.04278779387334351,-0.05541095632528439,0.07270732474520589,-0.0092268525462065,0.10901362448075243,0.6844731374453293,0.7403711360407792,0.03272189098643361,0.6756635653196253,0.309413270395233,0.6245036593863702,0.7692973879866617,0.02207219471900676,-0.2847089538253074,,0.004307538302359683,0.5974798721911426,0.221975535599313,0.5182849002934562,-0.31801212077512186,0.2807215190514399,0.5358548926137648,0.536174430880981,-0.7962425704800324,0.3509220132520638,0.7812578101959871,0.39649806293929757,-0.23868304603061988
Humedad_Relativa,0.5674624005718127,-0.7636722500185221,-0.27436943033339906,-0.5679169476707837,1.0,-0.14499949591095768,-0.4382246966846543,0.06234290888318597,0.1758569459675225,-0.06900551928004676,0.06635769075299695,-0.3832775452959649,-0.6543879291716573,-0.6528293980413924,0.19752763247983757,-0.18070025574260465,-0.2107221379804917,-0.15631787292900332,-0.2336949449228006,0.011576010904724168,-0.11296171814167238,,0.04102560935223377,0.02461912726315194,-0.3504404032196338,-0.7857005887589088,-0.11449620709207939,-0.5286654022125911,-0.7251110640826779,-0.7515621641211647,0.6388817929819669,-0.2147396005083426,-0.4592549160838103,-0.008563828345846493,-0.2031628183847655
Velocidad_Viento,-0.10258977305177495,-0.09954136955647813,-0.2478781586711235,-0.1621828353382299,-0.14499949591095768,1.0,-0.20212897641485128,0.03048009042110103,-0.09066611260102497,0.16704216970756178,0.06061847087897843,0.03194561988713329,0.06356478455302564,0.03632679122586472,0.4829265677792562,0.1686347525306436,-0.005249362207486295,0.17344024387322346,0.1477969494021675,0.00614209624315045,-0.244954349262751,,0.4064636277784563,0.08606843164547551,0.22582883377389704,-0.036985257078815115,-0.03327154804619573,-0.0785946131058827,-0.042809007208699366,-0.025368947151950476,0.08313582334585631,0.03133056249497559,-0.18649792690309433,0.02666544314685128,-0.08123228339736832
Radiacion_Solar,-0.424983687244536,0.4234305561668253,0.1910191235158148,0.3674625890144806,-0.4382246966846543,-0.20212897641485128,1.0,0.007682981987283726,0.01564137266260115,0.08737009277710962,0.14964438607770073,0.00803341214283368,0.12690182083323365,0.1603919032443668,-0.2085481362621982,0.06869506862122783,0.03003184979733635,0.07071533588577025,0.09430332155177272,0.03475423770283916,0.07753995051801353,,-0.22530700043504343,0.05661143453254646,0.0912123194292248,0.1396577521771733,-0.42687760174489636,-0.08850673278978746,0.05761111201494773,0.2843707277144987,-0.20954481954003765,0.09522497073246504,0.35518822596211336,0.14774168966717713,-0.2158522178000301
Anio,0.06866410609952918,0.020072072571254602,0.03956378221170877,0.04278779387334351,0.06234290888318597,0.03048009042110103,0.007682981987283726,1.0,-1.828184559187396e-15,-0.2775895191376329,0.5738938907334586,-0.05727042918024371,0.03737597801422406,0.0317712005499611,,0.164077949329475,-0.22864642877982572,0.22360679775010023,0.011203119382859578,0.6717776667909484,-0.4177904915657767,,-0.043069359429804555,4.134042402077412e-13,0.1542058308876453,0.38025008002746596,-0.00288592478493518,0.20365469074483278,0.38967883722781743,-0.20392155715263427,-0.5031956760947406,0.1175076190483013,-0.06342495560000574,0.2704284191327212,-0.3332232115737573
Mes,0.07127110478576469,-0.13582942924057997,-0.009995917219118813,-0.05541095632528439,0.1758569459675225,-0.09066611260102497,0.01564137266260115,-1.828184559187396e-15,1.0,-0.08315597549364631,0.20036343339448792,-2.25044491488462e-16,-6.658990248124117e-16,-6.365176601028946e-16,8.233470708115982e-18,-6.130925152756133e-16,-2.7891897329513e-16,2.8679474431184336e-16,-4.273972530345011e-16,-1.5002957508407078e-16,2.344320997466423e-16,,1.505527988220396e-16,1.2240249515484984e-16,0.05494726666056572,0.14154843495538616,-0.18186110806292308,0.008465419536219786,0.14155659822829125,0.1953094363860313,-0.07024600869475402,0.2614224274871692,0.07253580386781933,-0.0011813221657066037,-0.0765574434795979
ONI,-0.03855133467318509,0.07572001857998817,0.02686422214390575,0.07270732474520589,-0.06900551928004676,0.16704216970756178,0.08737009277710962,-0.2775895191376329,-0.08315597549364631,1.0,0.2803289609323202,0.006986909701189678,-2.378328711027237e-05,-1.8568875347397058e-05,1.0958664897847428e-16,-0.012628123154867514,-0.20133906084285777,0.03597195807077174,0.0018022624748083378,0.03842076008198912,-0.06596651424742957,,0.011784887269480009,-1.975893491357484e-16,-0.051612504527523854,-0.2666707325613968,-0.01673788411917651,-0.23783307832043124,-0.2963961843847241,-0.20160640215049233,0.3289291172526014,-0.02947936404403558,-0.1016810236171298,-0.08287207166646829,0.012610550120291619
