,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
Precipitacion_mm,1.0,-0.2877989391489498,0.08783863957894608,-0.14220406143527553,0.6362956809141729,-0.15402625979104215,-0.4363616846107672,0.039822359648625925,0.11666656150343922,0.05049170319524004,0.07730735324146684,-0.173639409392216,-0.027578529014846736,-0.027578529014846736,0.03900831531619792,0.03153571635729599,0.021659891221059976,0.0793980649914357,0.03069077471302442,0.03214645210433645,-0.1456855212497464,,0.143960588065884,0.2518273815507985,0.4377696875109977,-0.2954621848739496,-0.20695614117321068,-0.14482917378139232,-0.33061183221500223,-0.35073891625615766,0.1601594398205319,-0.16521384379609902,-0.14144373730111756,0.15191808748843505,-0.3810301384168211
Temp_Max_C,-0.2877989391489498,1.0,0.7765498580875588,0.9534112921947542,-0.694250385311952,-0.07837230195870237,0.43665367419301343,0.027871163634589625,-0.12868017516463698,0.02191633582910032,-0.02266869897885533,0.2671792033141727,0.854250716357631,0.854250716357631,0.25220893523403826,0.6910184067105104,0.5353784650110955,0.5391310127459359,0.794300946050853,0.18591617169691638,-0.29771936050358616,,0.1078690024652539,0.13179884900817504,0.34174037072740204,0.6849472969003587,-0.35749849301016584,0.4443196949088197,0.6976168642171833,0.7929548034035325,-0.8531085659112725,0.4628482249981693,0.7934148331656045,0.3788596803662416,0.06202872107437545
Temp_Min_C,0.08783863957894608,0.7765498580875588,1.0,0.8833875236190902,-0.20511308510648119,-0.26426872943860763,0.21275385591057225,0.03785573603984627,-0.020551604530585004,0.025708059367911523,-0.02120833173508577,-0.019827271279834927,0.7571819249846923,0.7571819249846923,0.2353950062184357,0.7382166498895558,0.6993819380518612,0.590548807253591,0.826454738200026,0.09782688783609415,-0.4526026019591243,,0.11590830219890914,0.32899390592476363,0.65295744613665,0.16807529792718093,-0.377934807473595,0.03950088097922837,0.26954480646612505,0.17440571631242652,-0.5328498709439707,0.3496313754461724,0.6083813703887865,0.5090561845676033,-0.38729198285069055
Temp_Media_C,-0.14220406143527553,0.9534112921947542,0.8833875236190902,1.0,-0.5232032003004312,-0.11719869673614003,0.3741161359856127,0.05857551777755171,-0.06808013258097595,0.05722921123487956,-0.018181953391000292,0.1673835022509428,0.8726278050195725,0.8726278050195725,0.2912330591027843,0.75782853486202,0.6134903817115854,0.611796914141652,0.8563239866598242,0.17681073881406292,-0.41281481652871094,,0.14035607970804925,0.24191715085452506,0.5123188175142963,0.5988906779530515,-0.38273180412330515,0.35398591820440767,0.5912837148297452,0.7611774906855904,-0.7764330141757917,0.4137848241954266,0.7714162259319061,0.42900812030184826,-0.018346861363075045
Humedad_Relativa,0.6362956809141729,-0.694250385311952,-0.20511308510648119,-0.5232032003004312,1.0,-0.14423687850739275,-0.4876038277773199,0.05199362134073798,0.1895590518709039,0.021612369286138616,0.07068881556467677,-0.4267131525990377,-0.4580190361126076,-0.4580190361126076,-0.016140933796172343,-0.23056497128111086,-0.09114528105726209,-0.08472991209930328,-0.28131983756450907,-0.13365655790707084,-0.13674176106587446,,0.10015719545780305,0.3310067518514835,0.28140705807596256,-0.6007827320514887,-0.03871861581551789,-0.3867823504930152,-0.5753578491950468,-0.7369458128078817,0.4856525405805682,-0.28845877058469827,-0.38514925738112327,0.22376767878906206,-0.3828162538070485
Velocidad_Viento,-0.15402625979104215,-0.07837230195870237,-0.26426872943860763,-0.11719869673614003,-0.14423687850739275,1.0,-0.16048319407876124,0.05474398088866784,-0.14216935543291884,0.16410580740272984,0.03381951937622345,0.05752565152876836,0.0055618602640774475,0.0055618602640774475,0.447420545960082,0.049848733663563044,-0.12704531055014323,0.16402201139925288,-0.0255063758095474,-0.027466660316562145,-0.2058113265765833,,0.38459041798494875,0.18884605098204563,0.2736839279427646,-0.007935945659378423,0.22321428571428573,0.11289424345339058,0.02036906913300029,-0.1274768095969836,-0.029101262391064926,0.07684729957294399,-0.1968011602864174,-0.004060067559395969,0.011761040542366409
Radiacion_Solar,-0.4363616846107672,0.43665367419301343,0.21275385591057225,0.3741161359856127,-0.4876038277773199,-0.16048319407876124,1.0,0.00315530831411256,0.06202033935971906,-0.00893514196721569,0.14707754098020165,0.03520391997587036,0.2506287708513495,0.2506287708513495,-0.18630338983326702,0.15036062677184958,0.2054597298378407,0.08108973939169131,0.2671924482255924,0.1003925880219537,0.03047374490297631,,-0.19958086938672406,-0.09078105095880923,-0.2812638121261479,0.22425508422032228,-0.5475429033026336,0.0036744068129696654,0.19758630528454293,0.36974997201264437,-0.27266178483522135,0.3397051089486465,0.378257011660436,0.16934128866920123,-0.09213812356402239
Anio,0.039822359648625925,0.027871163634589625,0.03785573603984627,0.05857551777755171,0.05199362134073798,0.05474398088866784,0.00315530831411256,1.0,0.0,-0.25457649135534294,0.5891746791302561,0.13033515079727465,0.18600835106560612,0.18600835106560612,,-0.07966649663613579,-0.21673486797855085,0.22360679774997896,0.12565617248750865,0.6623703042426295,-0.31153747351560346,,-0.10910894511799618,0.0,0.502668768982242,0.36012457093205774,0.155217914981849,0.24925372077396837,0.3133088708585023,-0.21083872751845711,-0.43984274486175573,0.1886004847489863,-0.06250577571508897,0.2431259817974645,-0.17012623952134132
Mes,0.11666656150343922,-0.12868017516463698,-0.020551604530585004,-0.06808013258097595,0.1895590518709039,-0.14216935543291884,0.06202033935971906,0.0,1.0,-0.14946189570038834,0.2049507033286523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0946805379389849,0.13755340490766205,-0.3118248045944081,0.0505337893055159,0.1345407351317453,0.22137976027297948,-0.06527272087833173,0.2115463100131904,0.10636892078176771,-0.1539968481413033,0.02515578102965702
ONI,0.05049170319524004,0.02191633582910032,0.025708059367911523,0.05722921123487956,0.021612369286138616,0.16410580740272984,-0.00893514196721569,-0.25457649135534294,-0.14946189570038834,1.0,0.1579530902994056,-0.028305409697093702,-0.011013817711785044,-0.011013817711785044,0.0,-0.03760109012815547,-0.1257372123861838,0.045943755842480415,0.025818161911704426,0.01647412365930556,-0.053214886919296676,,0.028252909435471034,0.0,-0.12337305775189406,-0.36012085055377246,-0.24276951623665974,-0.28936308068009986,-0.37638093671286127,-0.3002001735712182,0.3548151719441107,-0.15942573294886841,-0.17884402668164678,-0.14816553843036273,-0.12665401646810853
VolumenUtilDiarioMasa,0.07730735324146684,-0.02266869897885533,-0.02120833173508577,-0.018181953391000292,0.07068881556467677,0.03381951937622345,0.14707754098020165,0.5891746791302561,0.2049507033286523,0.1579530902994056,1.0,-0.1108808467440229,0.14810531819464762,0.14810531819464762,0.0,-0.07780025828151069,-0.33126421547698864,0.20906027202310126,0.10917816632172607,0.595077465684646,-0.26965645581384867,,0.09194621406122841,0.0,0.13601209050097957,-0.08143720110537678,-0.26007313742448673,-0.18473973291849854,0.008032162300804285,-0.07980272769832711,0.15846497906327478,0.0819290117702415,-0.16514230160347398,0.008859623899229174,-0.29606168271469574
irca,-0.173639409392216,0.2671792033141727,-0.019827271279834927,0.1673835022509428,-0.4267131525990377,0.05752565152876836,0.03520391997587036,0.13033515079727465,0.0,-0.028305409697093702,-0.1108808467440229,1.0,0.30992656739919366,0.30992656739919366,0.7378647873726218,-0.1298852140589887,-0.2724606851434096,-0.11150681138936737,0.16460490040005743,0.3385714808706034,0.2740219131903385,,0.5030030300035687,0.049088069367381595,-0.3059252255649718,0.43068844101209774,0.19759267002298378,0.504510918892574,0.3311701420320236,0.49703708329128293,-0.27477425424117113,-0.008082177995465454,-0.0037044205538998443,-0.23751950615956102,0.3600966517658488
POBLACION TOTAL,-0.027578529014846736,0.854250716357631,0.7571819249846923,0.8726278050195725,-0.4580190361126076,0.0055618602640774475,0.2506287708513495,0.18600835106560612,0.0,-0.011013817711785044,0.14810531819464762,0.30992656739919366,1.0,1.0,0.4,0.7623508321429403,0.4980809296191196,0.6736491520518402,0.8990755888590045,0.36456072614698487,-0.45123877080363145,,0.21428571428571427,0.19518001458970663,0.8574413833324961,0.6407895410572909,-0.5264323490754701,0.4468450886766275,0.7366073345631539,0.6943259403217087,-0.8642905355121195,0.5719468136862718,0.5878517606815161,0.6197647065320203,-0.1049580591073699
DENSIDAD POBLACIONAL,-0.027578529014846736,0.854250716357631,0.7571819249846923,0.8726278050195725,-0.4580190361126076,0.0055618602640774475,0.2506287708513495,0.18600835106560612,0.0,-0.011013817711785044,0.14810531819464762,0.30992656739919366,1.0,1.0,0.4,0.7623508321429403,0.4980809296191196,0.6736491520518402,0.8990755888590045,0.36456072614698487,-0.45123877080363145,,0.21428571428571427,0.19518001458970663,0.8574413833324961,0.6407895410572909,-0.5264323490754701,0.4468450886766275,0.7366073345631539,0.6943259403217087,-0.8642905355121195,0.5719468136862718,0.5878517606815161,0.6197647065320203,-0.1049580591073699
INDICE DE DESEMPENO INSTITUCIONAL,0.03900831531619792,0.25220893523403826,0.2353950062184357,0.2912330591027843,-0.016140933796172343,0.447420545960082,-0.18630338983326702,,0.0,0.0,0.0,0.7378647873726218,0.4,0.4,1.0,0.31622776601683794,0.2,,0.7745966692414833,-0.9486832980505139,-0.7745966692414833,,1.0,0.8,,1.0,,1.0,1.0,1.0,-1.0,0.5,1.0,1.0,0.5
ACCESO A AGUA POTABLE ADECUADO,0.03153571635729599,0.6910184067105104,0.7382166498895558,0.75782853486202,-0.23056497128111086,0.049848733663563044,0.15036062677184958,-0.07966649663613579,0.0,-0.03760109012815547,-0.07780025828151069,-0.1298852140589887,0.7623508321429403,0.7623508321429403,0.31622776601683794,1.0,0.7870728070034804,0.805211928902431,0.7277811844324164,-0.0831509779424536,-0.5798728752256133,,0.16488754406534833,0.3119251469460218,0.8404886071070661,0.37133704466021644,-0.5013853302863954,0.1934348484992942,0.5320925607891478,0.49567056759682027,-0.745441055010835,0.6030417280456348,0.6921908206054923,0.6409123710476698,-0.35282389971184874
