Variable_1,Variable_2,Pearson,Spearman,Abs_Pearson,Abs_Spearman,N_Par,Clasificacion
AGUAS RESIDUALES TRATADAS,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-1.0,-1.0,1.0,1.0,2,No concluyente (n < 30)
CALIDAD DEL AGUA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-1.0,-1.0,1.0,1.0,2,No concluyente (n < 30)
INDICE DE DESEMPENO INSTITUCIONAL,TURBIDEZ,1.0,1.0,1.0,1.0,2,No concluyente (n < 30)
POBLACION TOTAL,DENSIDAD POBLACIONAL,0.9958285597370201,1.0,0.9958285597370201,1.0,528,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,OXIGENO DISUELTO (OD),-0.9946976878214308,-1.0,0.9946976878214308,1.0,3,No concluyente (n < 30)
COBERTURA DE ALCANTARILLADO RURAL,AGUAS RESIDUALES TRATADAS,-0.9518639659043956,-0.7745966692414833,0.9518639659043956,0.7745966692414833,96,Muy fuerte
COBERTURA DE ACUEDUCTO RURAL,AGUAS RESIDUALES TRATADAS,0.9518639659043954,0.7745966692414833,0.9518639659043954,0.7745966692414833,96,Muy fuerte
Temp_Max_C,Temp_Media_C,0.9413415958248187,0.9534112921947542,0.9413415958248187,0.9534112921947542,528,Muy fuerte
ACCESO A AGUA POTABLE ADECUADO,COBERTURA DE ACUEDUCTO URBANO,0.9386140912483517,0.805211928902431,0.9386140912483517,0.805211928902431,528,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,SOLIDOS SUSPENDIDOS TOTALES,0.9326897814624298,0.5,0.9326897814624298,0.5,3,No concluyente (n < 30)
CONDUCTIVIDAD ELECTRICA,NITROGENO TOTAL,0.9319835782330247,0.9177339901477832,0.9319835782330247,0.9177339901477832,29,No concluyente (n < 30)
INDICE DE DESEMPENO INSTITUCIONAL,TEMPERATURA,0.9256959649302327,1.0,0.9256959649302327,1.0,3,No concluyente (n < 30)
CONDUCTIVIDAD ELECTRICA,FOSFORO TOTAL,0.9141256446746779,0.8023677187449753,0.9141256446746779,0.8023677187449753,49,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,COBERTURA DE ALCANTARILLADO URBANO,-0.912515249835361,-0.9486832980505139,0.912515249835361,0.9486832980505139,48,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,CALIDAD DEL AGUA,0.9120738620329274,1.0,0.9120738620329274,1.0,48,Muy fuerte
Temp_Min_C,Temp_Media_C,0.8997748396828731,0.8833875236190902,0.8997748396828731,0.8833875236190902,528,Fuerte
DENSIDAD POBLACIONAL,OXIGENO DISUELTO (OD),-0.8876789949778077,-0.8642905355121195,0.8876789949778077,0.8642905355121195,50,Fuerte
ACCESO A AGUA POTABLE ADECUADO,COBERTURA DE ACUEDUCTO RURAL,0.8827679829119515,0.7277811844324164,0.8827679829119515,0.7277811844324164,528,Fuerte
POBLACION TOTAL,FOSFORO TOTAL,0.8818171731579585,0.7366073345631539,0.8818171731579585,0.7366073345631539,49,Fuerte
DENSIDAD POBLACIONAL,FOSFORO TOTAL,0.867321880399887,0.7366073345631539,0.867321880399887,0.7366073345631539,49,Fuerte
POBLACION TOTAL,OXIGENO DISUELTO (OD),-0.8659236844879361,-0.8642905355121195,0.8659236844879361,0.8642905355121195,50,Fuerte
POBLACION TOTAL,CONDUCTIVIDAD ELECTRICA,0.8619537926675054,0.6407895410572909,0.8619537926675054,0.6407895410572909,50,Fuerte
Temp_Max_C,OXIGENO DISUELTO (OD),-0.8452082831174603,-0.8531085659112725,0.8452082831174603,0.8531085659112725,50,Fuerte
DENSIDAD POBLACIONAL,CONDUCTIVIDAD ELECTRICA,0.8414613402522286,0.6407895410572909,0.8414613402522286,0.6407895410572909,50,Fuerte
FOSFORO TOTAL,NITROGENO TOTAL,0.8270654645434151,0.8438423645320197,0.8270654645434151,0.8438423645320197,29,No concluyente (n < 30)
POBLACION TOTAL,Nivel_Minimo,0.8267638495159672,0.8574413833324961,0.8267638495159672,0.8574413833324961,87,Fuerte
SOLIDOS SUSPENDIDOS TOTALES,TURBIDEZ,0.8175967966425479,0.8683888820498764,0.8175967966425479,0.8683888820498764,34,Fuerte
COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,0.815547154937789,0.6868295951599089,0.815547154937789,0.6868295951599089,528,Fuerte
Temp_Max_C,TEMPERATURA,0.8120301126283962,0.7934148331656045,0.8120301126283962,0.7934148331656045,50,Fuerte
COBERTURA DE ALCANTARILLADO URBANO,CALIDAD DEL AGUA,-0.804659027853817,-0.8486684247915055,0.804659027853817,0.8486684247915055,96,Fuerte
Nivel_Minimo,TURBIDEZ,0.7996356127801872,0.6386004222984786,0.7996356127801872,0.6386004222984786,12,No concluyente (n < 30)
INDICE DE DESEMPENO INSTITUCIONAL,DEMANDA QUIMICA DE OXIGENO (DQO),0.7984031019722234,1.0,0.7984031019722234,1.0,3,No concluyente (n < 30)
Temp_Media_C,OXIGENO DISUELTO (OD),-0.7962425704800324,-0.7764330141757917,0.7962425704800324,0.7764330141757917,50,Fuerte
Humedad_Relativa,CONDUCTIVIDAD ELECTRICA,-0.7857005887589088,-0.6007827320514887,0.7857005887589088,0.6007827320514887,50,Fuerte
Temp_Media_C,TEMPERATURA,0.7812578101959871,0.7714162259319061,0.7812578101959871,0.7714162259319061,50,Fuerte
Temp_Max_C,DENSIDAD POBLACIONAL,0.7803979883098209,0.854250716357631,0.7803979883098209,0.854250716357631,528,Fuerte
AGUAS RESIDUALES TRATADAS,OXIGENO DISUELTO (OD),-0.7797865091371275,-0.4763305116224668,0.7797865091371275,0.4763305116224668,9,No concluyente (n < 30)
COBERTURA DE ACUEDUCTO RURAL,TEMPERATURA,0.7760656052800782,0.734966380856178,0.7760656052800782,0.734966380856178,50,Fuerte
Temp_Media_C,COBERTURA DE ACUEDUCTO RURAL,0.7692973879866617,0.8563239866598242,0.7692973879866617,0.8563239866598242,528,Fuerte
FOSFORO TOTAL,OXIGENO DISUELTO (OD),-0.7678003818412584,-0.7760653237970215,0.7678003818412584,0.7760653237970215,49,Fuerte
Temp_Max_C,Humedad_Relativa,-0.7636722500185221,-0.694250385311952,0.7636722500185221,0.694250385311952,528,Fuerte
CONDUCTIVIDAD ELECTRICA,OXIGENO DISUELTO (OD),-0.7635359193974837,-0.7561350464690479,0.7635359193974837,0.7561350464690479,50,Fuerte
Temp_Max_C,Temp_Min_C,0.7628590961163014,0.7765498580875588,0.7628590961163014,0.7765498580875588,528,Fuerte
Temp_Min_C,COBERTURA DE ACUEDUCTO RURAL,0.7539169551178727,0.826454738200026,0.7539169551178727,0.826454738200026,528,Fuerte
Humedad_Relativa,NITROGENO TOTAL,-0.7515621641211647,-0.7369458128078817,0.7515621641211647,0.7369458128078817,29,No concluyente (n < 30)
POBLACION TOTAL,NITROGENO TOTAL,0.7497102795315989,0.6943259403217087,0.7497102795315989,0.6943259403217087,29,No concluyente (n < 30)
COBERTURA DE ACUEDUCTO RURAL,OXIGENO DISUELTO (OD),-0.7479876127113941,-0.7666594471413443,0.7479876127113941,0.7666594471413443,50,Fuerte
Temp_Max_C,POBLACION TOTAL,0.742010982005294,0.854250716357631,0.742010982005294,0.854250716357631,528,Fuerte
Temp_Media_C,DENSIDAD POBLACIONAL,0.7403711360407792,0.8726278050195725,0.7403711360407792,0.8726278050195725,528,Fuerte
DENSIDAD POBLACIONAL,NITROGENO TOTAL,0.7362901208741066,0.6943259403217087,0.7362901208741066,0.6943259403217087,29,No concluyente (n < 30)
DEMANDA QUIMICA DE OXIGENO (DQO),NITROGENO TOTAL,0.7347691187182083,0.7960591133004926,0.7347691187182083,0.7960591133004926,29,No concluyente (n < 30)
CALIDAD DEL AGUA,pH,0.7345179688069101,0.24474534704521944,0.7345179688069101,0.24474534704521944,9,No concluyente (n < 30)
INDICE DE DESEMPENO INSTITUCIONAL,AGUAS RESIDUALES TRATADAS,0.7290766549206337,0.8,0.7290766549206337,0.8,48,Fuerte
