Ranking_VIF,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF
1,DENSIDAD POBLACIONAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1329.161,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
2,POBLACION TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1182.398,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
3,Temp_Media_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,82.34,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
4,COBERTURA DE ACUEDUCTO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,42.952,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
5,ACCESO A AGUA POTABLE ADECUADO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,37.091,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
6,Temp_Max_C,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,36.388,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
7,COBERTURA DE ACUEDUCTO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,32.439,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
8,CONDUCTIVIDAD ELECTRICA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,22.148,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
9,FOSFORO TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,14.559,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.
10,Temp_Min_C,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,13.221,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.
11,NITROGENO TOTAL,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,10.278,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.
12,Humedad_Relativa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,9.391,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
13,INDICE DE DESEMPENO INSTITUCIONAL,Numérica,2,1.0,Muy Alta,Participa en el máximo relativo de relaciones fuertes detectadas.,8.381,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
14,OXIGENO DISUELTO (OD),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,7.54,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
15,COBERTURA DE ALCANTARILLADO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,7.181,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
16,CALIDAD DEL AGUA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,6.742,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
17,AGUAS RESIDUALES TRATADAS,Numérica,2,1.0,Muy Alta,Participa en el máximo relativo de relaciones fuertes detectadas.,5.555,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
18,Anio,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,4.188,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
19,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,3.619,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
20,COBERTURA DE ALCANTARILLADO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,3.032,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
21,DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.999,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
22,TEMPERATURA,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.965,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
23,pH,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.878,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
24,SOLIDOS SUSPENDIDOS TOTALES,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.722,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
25,Velocidad_Viento,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.574,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
26,Radiacion_Solar,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.449,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
27,irca,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.144,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
28,VolumenUtilDiarioMasa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.114,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
29,ONI,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.084,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
30,Precipitacion_mm,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.99,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
31,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.965,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
32,TURBIDEZ,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.645,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
33,Mes,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.25,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
34,Nivel_Minimo,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.028,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
35,CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,,No Calculado,VIF no calculable por varianza nula de la variable.,Evaluar por separado debido a varianza nula; el VIF no es calculable.
