Ranking,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Observacion
1,AGUAS RESIDUALES TRATADAS,Numérica,2,1.0,Muy Alta,
2,INDICE DE DESEMPENO INSTITUCIONAL,Numérica,2,1.0,Muy Alta,
3,ACCESO A AGUA POTABLE ADECUADO,Numérica,1,0.5,Moderada,
4,CALIDAD DEL AGUA,Numérica,1,0.5,Moderada,
5,COBERTURA DE ACUEDUCTO RURAL,Numérica,1,0.5,Moderada,
6,COBERTURA DE ACUEDUCTO URBANO,Numérica,1,0.5,Moderada,
7,COBERTURA DE ALCANTARILLADO RURAL,Numérica,1,0.5,Moderada,
8,COBERTURA DE ALCANTARILLADO URBANO,Numérica,1,0.5,Moderada,
9,CONDUCTIVIDAD ELECTRICA,Numérica,1,0.5,Moderada,
10,DENSIDAD POBLACIONAL,Numérica,1,0.5,Moderada,
11,FOSFORO TOTAL,Numérica,1,0.5,Moderada,
12,POBLACION TOTAL,Numérica,1,0.5,Moderada,
13,Temp_Max_C,Numérica,1,0.5,Moderada,
14,Temp_Media_C,Numérica,1,0.5,Moderada,
15,Anio,Numérica,0,0.0,Muy Baja,
16,CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,
17,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,0,0.0,Muy Baja,
18,DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,
19,Humedad_Relativa,Numérica,0,0.0,Muy Baja,
20,Mes,Numérica,0,0.0,Muy Baja,
21,NITROGENO TOTAL,Numérica,0,0.0,Muy Baja,
22,Nivel_Minimo,Numérica,0,0.0,Muy Baja,
23,ONI,Numérica,0,0.0,Muy Baja,
24,OXIGENO DISUELTO (OD),Numérica,0,0.0,Muy Baja,
25,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,0,0.0,Muy Baja,
26,Precipitacion_mm,Numérica,0,0.0,Muy Baja,
27,Radiacion_Solar,Numérica,0,0.0,Muy Baja,
28,SOLIDOS SUSPENDIDOS TOTALES,Numérica,0,0.0,Muy Baja,
29,TEMPERATURA,Numérica,0,0.0,Muy Baja,
30,TURBIDEZ,Numérica,0,0.0,Muy Baja,
31,Temp_Min_C,Numérica,0,0.0,Muy Baja,
32,Velocidad_Viento,Numérica,0,0.0,Muy Baja,
33,VolumenUtilDiarioMasa,Numérica,0,0.0,Muy Baja,
34,irca,Numérica,0,0.0,Muy Baja,
35,pH,Numérica,0,0.0,Muy Baja,
