Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Observacion
Precipitacion_mm,Numérica,0,0.0,Muy Baja,
Temp_Max_C,Numérica,1,0.5,Moderada,
Temp_Min_C,Numérica,0,0.0,Muy Baja,
Temp_Media_C,Numérica,1,0.5,Moderada,
Humedad_Relativa,Numérica,0,0.0,Muy Baja,
Velocidad_Viento,Numérica,0,0.0,Muy Baja,
Radiacion_Solar,Numérica,0,0.0,Muy Baja,
Anio,Numérica,0,0.0,Muy Baja,
Mes,Numérica,0,0.0,Muy Baja,
ONI,Numérica,0,0.0,Muy Baja,
VolumenUtilDiarioMasa,Numérica,0,0.0,Muy Baja,
irca,Numérica,0,0.0,Muy Baja,
POBLACION TOTAL,Numérica,1,0.5,Moderada,
DENSIDAD POBLACIONAL,Numérica,1,0.5,Moderada,
INDICE DE DESEMPENO INSTITUCIONAL,Numérica,2,1.0,Muy Alta,
ACCESO A AGUA POTABLE ADECUADO,Numérica,1,0.5,Moderada,
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,0,0.0,Muy Baja,
COBERTURA DE ACUEDUCTO URBANO,Numérica,1,0.5,Moderada,
COBERTURA DE ACUEDUCTO RURAL,Numérica,1,0.5,Moderada,
COBERTURA DE ALCANTARILLADO URBANO,Numérica,1,0.5,Moderada,
COBERTURA DE ALCANTARILLADO RURAL,Numérica,1,0.5,Moderada,
CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,
CALIDAD DEL AGUA,Numérica,1,0.5,Moderada,
AGUAS RESIDUALES TRATADAS,Numérica,2,1.0,Muy Alta,
Nivel_Minimo,Numérica,0,0.0,Muy Baja,
CONDUCTIVIDAD ELECTRICA,Numérica,1,0.5,Moderada,
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,0,0.0,Muy Baja,
DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,
FOSFORO TOTAL,Numérica,1,0.5,Moderada,
NITROGENO TOTAL,Numérica,0,0.0,Muy Baja,
OXIGENO DISUELTO (OD),Numérica,0,0.0,Muy Baja,
SOLIDOS SUSPENDIDOS TOTALES,Numérica,0,0.0,Muy Baja,
TEMPERATURA,Numérica,0,0.0,Muy Baja,
TURBIDEZ,Numérica,0,0.0,Muy Baja,
pH,Numérica,0,0.0,Muy Baja,
