Variable,Origen,Categoria,Unidad,Observaciones,Cobertura (%),Media,Mediana,DesvStd,CoefVar (%),Asimetria,Curtosis,Outliers,%Outliers
Precipitacion_mm,IDEAM,Climatología,mm,528,100.0,6.066,5.845,3.708,61.13,0.657,0.22,7,1.33
Temp_Max_C,IDEAM,Climatología,°C,528,100.0,22.991,22.805,2.69,11.7,0.252,-0.901,0,0.0
Temp_Min_C,IDEAM,Climatología,°C,528,100.0,11.103,11.26,2.475,22.29,-0.216,-0.85,0,0.0
Temp_Media_C,IDEAM,Climatología,°C,528,100.0,16.715,17.28,2.268,13.57,-0.162,-1.336,0,0.0
Humedad_Relativa,IDEAM,Climatología,%,528,100.0,84.682,86.2,5.182,6.12,-1.056,0.723,6,1.14
Velocidad_Viento,IDEAM,Climatología,m/s,528,100.0,1.093,1.03,0.261,23.92,0.68,-0.071,5,0.95
Radiacion_Solar,IDEAM,Climatología,W/m²,528,100.0,16.587,16.495,1.696,10.23,0.436,0.519,16,3.03
Anio,Framework,Temporal,Año,528,100.0,2020.0,2020.0,3.165,0.16,0.0,-1.22,0,0.0
Mes,Framework,Temporal,Mes,528,100.0,6.5,6.5,3.455,53.16,0.0,-1.217,0,0.0
ONI,NOAA,ENSO,Índice,528,100.0,0.166,-0.015,0.939,564.32,0.891,0.242,12,2.27
VolumenUtilDiarioMasa,CAR,Hidrología,m³,336,63.64,437503454.92,432174766.337,93579100.669,21.39,0.124,-1.093,0,0.0
irca,SIVICAP,Agua Potable,%,528,100.0,2.6,2.2,2.412,92.76,1.018,0.361,12,2.27
POBLACION TOTAL,DANE,Demografía,Habitantes,528,100.0,61680.568,37972.5,53355.792,86.5,1.066,-0.703,132,25.0
DENSIDAD POBLACIONAL,DANE,Demografía,Hab/km²,528,100.0,744.905,447.33,756.035,101.49,0.944,-0.818,0,0.0
INDICE DE DESEMPENO INSTITUCIONAL,DNP,Gobernanza,Índice,48,9.09,71.825,69.2,10.527,14.66,0.73,-0.852,12,25.0
ACCESO A AGUA POTABLE ADECUADO,No documentado en C09/C10,Infraestructura,%,528,100.0,97.769,100.0,4.345,4.44,-1.474,0.186,108,20.45
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,No documentado en C09/C10,Infraestructura,%,528,100.0,93.178,99.0,14.773,15.85,-3.296,10.609,36,6.82
COBERTURA DE ACUEDUCTO URBANO,TerriData,Infraestructura,%,528,100.0,99.818,100.0,0.386,0.39,-1.655,0.741,96,18.18
COBERTURA DE ACUEDUCTO RURAL,TerriData,Infraestructura,%,528,100.0,95.318,100.0,7.706,8.08,-1.15,-0.668,132,25.0
COBERTURA DE ALCANTARILLADO URBANO,TerriData,Infraestructura,%,528,100.0,87.683,84.31,9.051,10.32,-0.161,-0.032,12,2.27
COBERTURA DE ALCANTARILLADO RURAL,TerriData,Infraestructura,%,528,100.0,45.103,55.88,26.898,59.64,-0.56,-1.061,0,0.0
CONTINUIDAD DE ACUEDUCTO URBANO,TerriData,Infraestructura,Horas/día,96,18.18,24.0,24.0,0.0,0.0,0.0,0.0,0,0.0
CALIDAD DEL AGUA,TerriData,Agua Potable,Índice,96,18.18,27.617,27.0,20.615,74.65,0.494,-0.146,12,12.5
AGUAS RESIDUALES TRATADAS,TerriData,Saneamiento,%,96,18.18,67.0,84.0,40.852,60.97,-0.878,-0.934,0,0.0
Nivel_Minimo,CAR,Hidrología,m,87,16.48,3.094,0.672,18.771,606.63,9.3,86.659,1,1.15
CONDUCTIVIDAD ELECTRICA,CAR,Calidad del Agua,µS/cm,50,9.47,190.909,118.8,177.642,93.05,1.5,1.418,4,8.0
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),CAR,Calidad del Agua,mg/L,26,4.92,10.637,7.215,10.265,96.51,2.031,3.487,4,15.38
DEMANDA QUIMICA DE OXIGENO (DQO),CAR,Calidad del Agua,mg/L,49,9.28,46.995,40.0,27.92,59.41,0.914,0.172,1,2.04
FOSFORO TOTAL,CAR,Calidad del Agua,mg/L,49,9.28,0.585,0.3,0.582,99.43,1.495,1.236,3,6.12
NITROGENO TOTAL,CAR,Calidad del Agua,mg/L,29,5.49,7.035,4.188,6.537,92.92,1.003,-0.132,0,0.0
OXIGENO DISUELTO (OD),CAR,Calidad del Agua,mg/L,50,9.47,4.244,4.6,2.143,50.51,-0.216,-1.454,0,0.0
SOLIDOS SUSPENDIDOS TOTALES,CAR,Calidad del Agua,mg/L,50,9.47,47.829,34.875,46.373,96.96,2.497,8.127,4,8.0
TEMPERATURA,CAR,Calidad del Agua,°C,50,9.47,16.27,16.875,2.245,13.8,-0.518,-0.524,0,0.0
TURBIDEZ,CAR,Calidad del Agua,NTU,34,6.44,31.44,22.75,29.899,95.1,1.626,2.219,2,5.88
pH,CAR,Calidad del Agua,pH,50,9.47,6.965,6.88,0.491,7.06,0.418,2.636,6,12.0
