Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Real,Probabilidad,Prediccion
102,Bogota_Sabana,2023-07-01,2024-06-01,2024-07-01,0,0.471697,0
222,Sopo_Sur,2023-07-01,2024-06-01,2024-07-01,0,0.2018996,0
342,Tocancipa_Media,2023-07-01,2024-06-01,2024-07-01,0,0.25990695,0
462,Villapinzon_Alta,2023-07-01,2024-06-01,2024-07-01,0,0.2906553,0
103,Bogota_Sabana,2023-08-01,2024-07-01,2024-08-01,0,0.46592513,0
223,Sopo_Sur,2023-08-01,2024-07-01,2024-08-01,0,0.15693308,0
343,Tocancipa_Media,2023-08-01,2024-07-01,2024-08-01,0,0.20230792,0
463,Villapinzon_Alta,2023-08-01,2024-07-01,2024-08-01,0,0.2696483,0
104,Bogota_Sabana,2023-09-01,2024-08-01,2024-09-01,0,0.44811812,0
224,Sopo_Sur,2023-09-01,2024-08-01,2024-09-01,0,0.1327699,0
344,Tocancipa_Media,2023-09-01,2024-08-01,2024-09-01,0,0.1720289,0
464,Villapinzon_Alta,2023-09-01,2024-08-01,2024-09-01,0,0.27528095,0
105,Bogota_Sabana,2023-10-01,2024-09-01,2024-10-01,0,0.42375097,0
225,Sopo_Sur,2023-10-01,2024-09-01,2024-10-01,0,0.1160822,0
345,Tocancipa_Media,2023-10-01,2024-09-01,2024-10-01,0,0.15716441,0
465,Villapinzon_Alta,2023-10-01,2024-09-01,2024-10-01,0,0.26935616,0
106,Bogota_Sabana,2023-11-01,2024-10-01,2024-11-01,0,0.42501086,0
226,Sopo_Sur,2023-11-01,2024-10-01,2024-11-01,0,0.1082765,0
346,Tocancipa_Media,2023-11-01,2024-10-01,2024-11-01,0,0.14239685,0
466,Villapinzon_Alta,2023-11-01,2024-10-01,2024-11-01,0,0.27854797,0
107,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01,0,0.43197888,0
227,Sopo_Sur,2023-12-01,2024-11-01,2024-12-01,0,0.09860359,0
347,Tocancipa_Media,2023-12-01,2024-11-01,2024-12-01,0,0.12774739,0
467,Villapinzon_Alta,2023-12-01,2024-11-01,2024-12-01,0,0.2657679,0
108,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01,0,0.40384242,0
228,Sopo_Sur,2024-01-01,2024-12-01,2025-01-01,0,0.08637279,0
348,Tocancipa_Media,2024-01-01,2024-12-01,2025-01-01,0,0.10590828,0
468,Villapinzon_Alta,2024-01-01,2024-12-01,2025-01-01,0,0.26601925,0
109,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01,0,0.3853062,0
229,Sopo_Sur,2024-02-01,2025-01-01,2025-02-01,0,0.07646994,0
349,Tocancipa_Media,2024-02-01,2025-01-01,2025-02-01,0,0.1055589,0
469,Villapinzon_Alta,2024-02-01,2025-01-01,2025-02-01,0,0.25949523,0
110,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01,0,0.35430628,0
230,Sopo_Sur,2024-03-01,2025-02-01,2025-03-01,0,0.07006743,0
350,Tocancipa_Media,2024-03-01,2025-02-01,2025-03-01,0,0.09961131,0
470,Villapinzon_Alta,2024-03-01,2025-02-01,2025-03-01,0,0.257733,0
111,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01,0,0.29520437,0
231,Sopo_Sur,2024-04-01,2025-03-01,2025-04-01,0,0.06709167,0
351,Tocancipa_Media,2024-04-01,2025-03-01,2025-04-01,0,0.08968746,0
471,Villapinzon_Alta,2024-04-01,2025-03-01,2025-04-01,0,0.24888296,0
112,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01,0,0.25023785,0
232,Sopo_Sur,2024-05-01,2025-04-01,2025-05-01,0,0.06383371,0
352,Tocancipa_Media,2024-05-01,2025-04-01,2025-05-01,0,0.08043018,0
472,Villapinzon_Alta,2024-05-01,2025-04-01,2025-05-01,0,0.23428369,0
113,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01,0,0.26794815,0
233,Sopo_Sur,2024-06-01,2025-05-01,2025-06-01,0,0.07403865,0
353,Tocancipa_Media,2024-06-01,2025-05-01,2025-06-01,0,0.08860931,0
473,Villapinzon_Alta,2024-06-01,2025-05-01,2025-06-01,0,0.22890544,0
114,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01,0,0.25211328,0
234,Sopo_Sur,2024-07-01,2025-06-01,2025-07-01,0,0.081722945,0
