Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Real,Prediccion,Baseline_Media_Train,Baseline_Estacional_12m,Error,Error_Absoluto
71,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01,492346400.0,397941088.0,422376768.0,580021824.0,94405312.0,94405312.0
155,Sopo_Sur,2023-12-01,2024-11-01,2024-12-01,492346400.0,415364768.0,422376768.0,580021824.0,76981632.0,76981632.0
239,Tocancipa_Media,2023-12-01,2024-11-01,2024-12-01,492346400.0,408802400.0,422376768.0,580021824.0,83544000.0,83544000.0
323,Villapinzon_Alta,2023-12-01,2024-11-01,2024-12-01,492346400.0,399603200.0,422376768.0,580021824.0,92743200.0,92743200.0
72,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01,478472864.0,402261088.0,422376768.0,554029632.0,76211776.0,76211776.0
156,Sopo_Sur,2024-01-01,2024-12-01,2025-01-01,478472864.0,419970560.0,422376768.0,554029632.0,58502304.0,58502304.0
240,Tocancipa_Media,2024-01-01,2024-12-01,2025-01-01,478472864.0,414834208.0,422376768.0,554029632.0,63638656.0,63638656.0
324,Villapinzon_Alta,2024-01-01,2024-12-01,2025-01-01,478472864.0,402318880.0,422376768.0,554029632.0,76153984.0,76153984.0
73,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01,453861344.0,403138560.0,422376768.0,525531648.0,50722784.0,50722784.0
157,Sopo_Sur,2024-02-01,2025-01-01,2025-02-01,453861344.0,420771584.0,422376768.0,525531648.0,33089760.0,33089760.0
241,Tocancipa_Media,2024-02-01,2025-01-01,2025-02-01,453861344.0,416742048.0,422376768.0,525531648.0,37119296.0,37119296.0
325,Villapinzon_Alta,2024-02-01,2025-01-01,2025-02-01,453861344.0,406862912.0,422376768.0,525531648.0,46998432.0,46998432.0
74,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01,431913248.0,404297952.0,422376768.0,500117664.0,27615296.0,27615296.0
158,Sopo_Sur,2024-03-01,2025-02-01,2025-03-01,431913248.0,421951328.0,422376768.0,500117664.0,9961920.0,9961920.0
242,Tocancipa_Media,2024-03-01,2025-02-01,2025-03-01,431913248.0,416911392.0,422376768.0,500117664.0,15001856.0,15001856.0
326,Villapinzon_Alta,2024-03-01,2025-02-01,2025-03-01,431913248.0,409646304.0,422376768.0,500117664.0,22266944.0,22266944.0
75,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01,410084320.0,409308992.0,422376768.0,474841696.0,775328.0,775328.0
159,Sopo_Sur,2024-04-01,2025-03-01,2025-04-01,410084320.0,422292736.0,422376768.0,474841696.0,-12208416.0,12208416.0
243,Tocancipa_Media,2024-04-01,2025-03-01,2025-04-01,410084320.0,412633184.0,422376768.0,474841696.0,-2548864.0,2548864.0
327,Villapinzon_Alta,2024-04-01,2025-03-01,2025-04-01,410084320.0,407878144.0,422376768.0,474841696.0,2206176.0,2206176.0
76,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01,404057536.0,409134464.0,422376768.0,467863200.0,-5076928.0,5076928.0
160,Sopo_Sur,2024-05-01,2025-04-01,2025-05-01,404057536.0,425298400.0,422376768.0,467863200.0,-21240864.0,21240864.0
244,Tocancipa_Media,2024-05-01,2025-04-01,2025-05-01,404057536.0,404059456.0,422376768.0,467863200.0,-1920.0,1920.0
328,Villapinzon_Alta,2024-05-01,2025-04-01,2025-05-01,404057536.0,412474624.0,422376768.0,467863200.0,-8417088.0,8417088.0
77,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01,420179936.0,410289088.0,422376768.0,486531520.0,9890848.0,9890848.0
161,Sopo_Sur,2024-06-01,2025-05-01,2025-06-01,420179936.0,425293056.0,422376768.0,486531520.0,-5113120.0,5113120.0
245,Tocancipa_Media,2024-06-01,2025-05-01,2025-06-01,420179936.0,401161824.0,422376768.0,486531520.0,19018112.0,19018112.0
329,Villapinzon_Alta,2024-06-01,2025-05-01,2025-06-01,420179936.0,415210048.0,422376768.0,486531520.0,4969888.0,4969888.0
78,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01,431375584.0,412379232.0,422376768.0,499495104.0,18996352.0,18996352.0
162,Sopo_Sur,2024-07-01,2025-06-01,2025-07-01,431375584.0,428345696.0,422376768.0,499495104.0,3029888.0,3029888.0
246,Tocancipa_Media,2024-07-01,2025-06-01,2025-07-01,431375584.0,401400928.0,422376768.0,499495104.0,29974656.0,29974656.0
330,Villapinzon_Alta,2024-07-01,2025-06-01,2025-07-01,431375584.0,416571936.0,422376768.0,499495104.0,14803648.0,14803648.0
79,Bogota_Sabana,2024-08-01,2025-07-01,2025-08-01,436014400.0,413648192.0,422376768.0,504866464.0,22366208.0,22366208.0
163,Sopo_Sur,2024-08-01,2025-07-01,2025-08-01,436014400.0,431951360.0,422376768.0,504866464.0,4063040.0,4063040.0
247,Tocancipa_Media,2024-08-01,2025-07-01,2025-08-01,436014400.0,403674208.0,422376768.0,504866464.0,32340192.0,32340192.0
331,Villapinzon_Alta,2024-08-01,2025-07-01,2025-08-01,436014400.0,418776832.0,422376768.0,504866464.0,17237568.0,17237568.0
80,Bogota_Sabana,2024-09-01,2025-08-01,2025-09-01,420453920.0,416172128.0,422376768.0,486848768.0,4281792.0,4281792.0
164,Sopo_Sur,2024-09-01,2025-08-01,2025-09-01,420453920.0,436287776.0,422376768.0,486848768.0,-15833856.0,15833856.0
248,Tocancipa_Media,2024-09-01,2025-08-01,2025-09-01,420453920.0,405470400.0,422376768.0,486848768.0,14983520.0,14983520.0
332,Villapinzon_Alta,2024-09-01,2025-08-01,2025-09-01,420453920.0,421391904.0,422376768.0,486848768.0,-937984.0,937984.0
81,Bogota_Sabana,2024-10-01,2025-09-01,2025-10-01,406067136.0,418111168.0,422376768.0,470190176.0,-12044032.0,12044032.0
165,Sopo_Sur,2024-10-01,2025-09-01,2025-10-01,406067136.0,438604576.0,422376768.0,470190176.0,-32537440.0,32537440.0
249,Tocancipa_Media,2024-10-01,2025-09-01,2025-10-01,406067136.0,407824832.0,422376768.0,470190176.0,-1757696.0,1757696.0
333,Villapinzon_Alta,2024-10-01,2025-09-01,2025-10-01,406067136.0,423085728.0,422376768.0,470190176.0,-17018592.0,17018592.0
82,Bogota_Sabana,2024-11-01,2025-10-01,2025-11-01,415953216.0,416833600.0,422376768.0,481637376.0,-880384.0,880384.0
166,Sopo_Sur,2024-11-01,2025-10-01,2025-11-01,415953216.0,440746336.0,422376768.0,481637376.0,-24793120.0,24793120.0
250,Tocancipa_Media,2024-11-01,2025-10-01,2025-11-01,415953216.0,411621056.0,422376768.0,481637376.0,4332160.0,4332160.0
334,Villapinzon_Alta,2024-11-01,2025-10-01,2025-11-01,415953216.0,427851744.0,422376768.0,481637376.0,-11898528.0,11898528.0
83,Bogota_Sabana,2024-12-01,2025-11-01,2025-12-01,425201792.0,428254272.0,422376768.0,492346400.0,-3052480.0,3052480.0
167,Sopo_Sur,2024-12-01,2025-11-01,2025-12-01,425201792.0,442042464.0,422376768.0,492346400.0,-16840672.0,16840672.0
251,Tocancipa_Media,2024-12-01,2025-11-01,2025-12-01,425201792.0,416428928.0,422376768.0,492346400.0,8772864.0,8772864.0
335,Villapinzon_Alta,2024-12-01,2025-11-01,2025-12-01,425201792.0,432145056.0,422376768.0,492346400.0,-6943264.0,6943264.0
