Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion
0,Bogota_Sabana,2015-01-01,2015-12-01,2016-01-01,Train
1,Bogota_Sabana,2015-02-01,2016-01-01,2016-02-01,Train
2,Bogota_Sabana,2015-03-01,2016-02-01,2016-03-01,Train
3,Bogota_Sabana,2015-04-01,2016-03-01,2016-04-01,Train
4,Bogota_Sabana,2015-05-01,2016-04-01,2016-05-01,Train
5,Bogota_Sabana,2015-06-01,2016-05-01,2016-06-01,Train
6,Bogota_Sabana,2015-07-01,2016-06-01,2016-07-01,Train
7,Bogota_Sabana,2015-08-01,2016-07-01,2016-08-01,Train
8,Bogota_Sabana,2015-09-01,2016-08-01,2016-09-01,Train
9,Bogota_Sabana,2015-10-01,2016-09-01,2016-10-01,Train
10,Bogota_Sabana,2015-11-01,2016-10-01,2016-11-01,Train
11,Bogota_Sabana,2015-12-01,2016-11-01,2016-12-01,Train
12,Bogota_Sabana,2016-01-01,2016-12-01,2017-01-01,Train
13,Bogota_Sabana,2016-02-01,2017-01-01,2017-02-01,Train
14,Bogota_Sabana,2016-03-01,2017-02-01,2017-03-01,Train
15,Bogota_Sabana,2016-04-01,2017-03-01,2017-04-01,Train
16,Bogota_Sabana,2016-05-01,2017-04-01,2017-05-01,Train
17,Bogota_Sabana,2016-06-01,2017-05-01,2017-06-01,Train
18,Bogota_Sabana,2016-07-01,2017-06-01,2017-07-01,Train
19,Bogota_Sabana,2016-08-01,2017-07-01,2017-08-01,Train
20,Bogota_Sabana,2016-09-01,2017-08-01,2017-09-01,Train
21,Bogota_Sabana,2016-10-01,2017-09-01,2017-10-01,Train
22,Bogota_Sabana,2016-11-01,2017-10-01,2017-11-01,Train
23,Bogota_Sabana,2016-12-01,2017-11-01,2017-12-01,Train
24,Bogota_Sabana,2017-01-01,2017-12-01,2018-01-01,Train
25,Bogota_Sabana,2017-02-01,2018-01-01,2018-02-01,Train
26,Bogota_Sabana,2017-03-01,2018-02-01,2018-03-01,Train
27,Bogota_Sabana,2017-04-01,2018-03-01,2018-04-01,Train
28,Bogota_Sabana,2017-05-01,2018-04-01,2018-05-01,Train
29,Bogota_Sabana,2017-06-01,2018-05-01,2018-06-01,Train
30,Bogota_Sabana,2017-07-01,2018-06-01,2018-07-01,Train
31,Bogota_Sabana,2017-08-01,2018-07-01,2018-08-01,Train
32,Bogota_Sabana,2017-09-01,2018-08-01,2018-09-01,Train
33,Bogota_Sabana,2017-10-01,2018-09-01,2018-10-01,Train
34,Bogota_Sabana,2017-11-01,2018-10-01,2018-11-01,Train
35,Bogota_Sabana,2017-12-01,2018-11-01,2018-12-01,Train
36,Bogota_Sabana,2018-01-01,2018-12-01,2019-01-01,Train
37,Bogota_Sabana,2018-02-01,2019-01-01,2019-02-01,Train
38,Bogota_Sabana,2018-03-01,2019-02-01,2019-03-01,Train
39,Bogota_Sabana,2018-04-01,2019-03-01,2019-04-01,Train
40,Bogota_Sabana,2018-05-01,2019-04-01,2019-05-01,Train
41,Bogota_Sabana,2018-06-01,2019-05-01,2019-06-01,Train
42,Bogota_Sabana,2018-07-01,2019-06-01,2019-07-01,Train
43,Bogota_Sabana,2018-08-01,2019-07-01,2019-08-01,Train
44,Bogota_Sabana,2018-09-01,2019-08-01,2019-09-01,Train
45,Bogota_Sabana,2018-10-01,2019-09-01,2019-10-01,Train
46,Bogota_Sabana,2018-11-01,2019-10-01,2019-11-01,Train
47,Bogota_Sabana,2018-12-01,2019-11-01,2019-12-01,Train
48,Bogota_Sabana,2019-01-01,2019-12-01,2020-01-01,Train
49,Bogota_Sabana,2019-02-01,2020-01-01,2020-02-01,Train
50,Bogota_Sabana,2019-03-01,2020-02-01,2020-03-01,Train
51,Bogota_Sabana,2019-04-01,2020-03-01,2020-04-01,Train
52,Bogota_Sabana,2019-05-01,2020-04-01,2020-05-01,Train
53,Bogota_Sabana,2019-06-01,2020-05-01,2020-06-01,Train
54,Bogota_Sabana,2019-07-01,2020-06-01,2020-07-01,Train
55,Bogota_Sabana,2019-08-01,2020-07-01,2020-08-01,Train
56,Bogota_Sabana,2019-09-01,2020-08-01,2020-09-01,Train
57,Bogota_Sabana,2019-10-01,2020-09-01,2020-10-01,Train
58,Bogota_Sabana,2019-11-01,2020-10-01,2020-11-01,Train
59,Bogota_Sabana,2019-12-01,2020-11-01,2020-12-01,Train
60,Bogota_Sabana,2020-01-01,2020-12-01,2021-01-01,Train
61,Bogota_Sabana,2020-02-01,2021-01-01,2021-02-01,Train
62,Bogota_Sabana,2020-03-01,2021-02-01,2021-03-01,Train
63,Bogota_Sabana,2020-04-01,2021-03-01,2021-04-01,Train
64,Bogota_Sabana,2020-05-01,2021-04-01,2021-05-01,Train
65,Bogota_Sabana,2020-06-01,2021-05-01,2021-06-01,Train
66,Bogota_Sabana,2020-07-01,2021-06-01,2021-07-01,Train
67,Bogota_Sabana,2020-08-01,2021-07-01,2021-08-01,Train
68,Bogota_Sabana,2020-09-01,2021-08-01,2021-09-01,Train
69,Bogota_Sabana,2020-10-01,2021-09-01,2021-10-01,Train
70,Bogota_Sabana,2020-11-01,2021-10-01,2021-11-01,Train
71,Bogota_Sabana,2020-12-01,2021-11-01,2021-12-01,Train
72,Bogota_Sabana,2021-01-01,2021-12-01,2022-01-01,Train
73,Bogota_Sabana,2021-02-01,2022-01-01,2022-02-01,Train
74,Bogota_Sabana,2021-03-01,2022-02-01,2022-03-01,Train
75,Bogota_Sabana,2021-04-01,2022-03-01,2022-04-01,Train
76,Bogota_Sabana,2021-05-01,2022-04-01,2022-05-01,Train
77,Bogota_Sabana,2021-06-01,2022-05-01,2022-06-01,Train
78,Bogota_Sabana,2021-07-01,2022-06-01,2022-07-01,Train
79,Bogota_Sabana,2021-08-01,2022-07-01,2022-08-01,Train
80,Bogota_Sabana,2021-09-01,2022-08-01,2022-09-01,Train
81,Bogota_Sabana,2021-10-01,2022-09-01,2022-10-01,Train
82,Bogota_Sabana,2021-11-01,2022-10-01,2022-11-01,Train
83,Bogota_Sabana,2021-12-01,2022-11-01,2022-12-01,Train
84,Bogota_Sabana,2022-01-01,2022-12-01,2023-01-01,Validacion
85,Bogota_Sabana,2022-02-01,2023-01-01,2023-02-01,Validacion
86,Bogota_Sabana,2022-03-01,2023-02-01,2023-03-01,Validacion
87,Bogota_Sabana,2022-04-01,2023-03-01,2023-04-01,Validacion
88,Bogota_Sabana,2022-05-01,2023-04-01,2023-05-01,Validacion
89,Bogota_Sabana,2022-06-01,2023-05-01,2023-06-01,Validacion
90,Bogota_Sabana,2022-07-01,2023-06-01,2023-07-01,Validacion
91,Bogota_Sabana,2022-08-01,2023-07-01,2023-08-01,Validacion
92,Bogota_Sabana,2022-09-01,2023-08-01,2023-09-01,Validacion
93,Bogota_Sabana,2022-10-01,2023-09-01,2023-10-01,Validacion
94,Bogota_Sabana,2022-11-01,2023-10-01,2023-11-01,Validacion
95,Bogota_Sabana,2022-12-01,2023-11-01,2023-12-01,Validacion
96,Bogota_Sabana,2023-01-01,2023-12-01,2024-01-01,Validacion
97,Bogota_Sabana,2023-02-01,2024-01-01,2024-02-01,Validacion
98,Bogota_Sabana,2023-03-01,2024-02-01,2024-03-01,Validacion
99,Bogota_Sabana,2023-04-01,2024-03-01,2024-04-01,Validacion
100,Bogota_Sabana,2023-05-01,2024-04-01,2024-05-01,Validacion
101,Bogota_Sabana,2023-06-01,2024-05-01,2024-06-01,Validacion
102,Bogota_Sabana,2023-07-01,2024-06-01,2024-07-01,Prueba
103,Bogota_Sabana,2023-08-01,2024-07-01,2024-08-01,Prueba
104,Bogota_Sabana,2023-09-01,2024-08-01,2024-09-01,Prueba
105,Bogota_Sabana,2023-10-01,2024-09-01,2024-10-01,Prueba
106,Bogota_Sabana,2023-11-01,2024-10-01,2024-11-01,Prueba
107,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01,Prueba
108,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01,Prueba
109,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01,Prueba
110,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01,Prueba
111,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01,Prueba
112,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01,Prueba
113,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01,Prueba
114,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01,Prueba
115,Bogota_Sabana,2024-08-01,2025-07-01,2025-08-01,Prueba
116,Bogota_Sabana,2024-09-01,2025-08-01,2025-09-01,Prueba
117,Bogota_Sabana,2024-10-01,2025-09-01,2025-10-01,Prueba
118,Bogota_Sabana,2024-11-01,2025-10-01,2025-11-01,Prueba
119,Bogota_Sabana,2024-12-01,2025-11-01,2025-12-01,Prueba
120,Sopo_Sur,2015-01-01,2015-12-01,2016-01-01,Train
121,Sopo_Sur,2015-02-01,2016-01-01,2016-02-01,Train
122,Sopo_Sur,2015-03-01,2016-02-01,2016-03-01,Train
123,Sopo_Sur,2015-04-01,2016-03-01,2016-04-01,Train
124,Sopo_Sur,2015-05-01,2016-04-01,2016-05-01,Train
125,Sopo_Sur,2015-06-01,2016-05-01,2016-06-01,Train
126,Sopo_Sur,2015-07-01,2016-06-01,2016-07-01,Train
127,Sopo_Sur,2015-08-01,2016-07-01,2016-08-01,Train
128,Sopo_Sur,2015-09-01,2016-08-01,2016-09-01,Train
129,Sopo_Sur,2015-10-01,2016-09-01,2016-10-01,Train
130,Sopo_Sur,2015-11-01,2016-10-01,2016-11-01,Train
131,Sopo_Sur,2015-12-01,2016-11-01,2016-12-01,Train
132,Sopo_Sur,2016-01-01,2016-12-01,2017-01-01,Train
133,Sopo_Sur,2016-02-01,2017-01-01,2017-02-01,Train
134,Sopo_Sur,2016-03-01,2017-02-01,2017-03-01,Train
135,Sopo_Sur,2016-04-01,2017-03-01,2017-04-01,Train
136,Sopo_Sur,2016-05-01,2017-04-01,2017-05-01,Train
137,Sopo_Sur,2016-06-01,2017-05-01,2017-06-01,Train
138,Sopo_Sur,2016-07-01,2017-06-01,2017-07-01,Train
139,Sopo_Sur,2016-08-01,2017-07-01,2017-08-01,Train
140,Sopo_Sur,2016-09-01,2017-08-01,2017-09-01,Train
141,Sopo_Sur,2016-10-01,2017-09-01,2017-10-01,Train
142,Sopo_Sur,2016-11-01,2017-10-01,2017-11-01,Train
143,Sopo_Sur,2016-12-01,2017-11-01,2017-12-01,Train
144,Sopo_Sur,2017-01-01,2017-12-01,2018-01-01,Train
145,Sopo_Sur,2017-02-01,2018-01-01,2018-02-01,Train
146,Sopo_Sur,2017-03-01,2018-02-01,2018-03-01,Train
147,Sopo_Sur,2017-04-01,2018-03-01,2018-04-01,Train
148,Sopo_Sur,2017-05-01,2018-04-01,2018-05-01,Train
149,Sopo_Sur,2017-06-01,2018-05-01,2018-06-01,Train
150,Sopo_Sur,2017-07-01,2018-06-01,2018-07-01,Train
151,Sopo_Sur,2017-08-01,2018-07-01,2018-08-01,Train
152,Sopo_Sur,2017-09-01,2018-08-01,2018-09-01,Train
153,Sopo_Sur,2017-10-01,2018-09-01,2018-10-01,Train
154,Sopo_Sur,2017-11-01,2018-10-01,2018-11-01,Train
155,Sopo_Sur,2017-12-01,2018-11-01,2018-12-01,Train
156,Sopo_Sur,2018-01-01,2018-12-01,2019-01-01,Train
157,Sopo_Sur,2018-02-01,2019-01-01,2019-02-01,Train
158,Sopo_Sur,2018-03-01,2019-02-01,2019-03-01,Train
159,Sopo_Sur,2018-04-01,2019-03-01,2019-04-01,Train
160,Sopo_Sur,2018-05-01,2019-04-01,2019-05-01,Train
161,Sopo_Sur,2018-06-01,2019-05-01,2019-06-01,Train
162,Sopo_Sur,2018-07-01,2019-06-01,2019-07-01,Train
163,Sopo_Sur,2018-08-01,2019-07-01,2019-08-01,Train
164,Sopo_Sur,2018-09-01,2019-08-01,2019-09-01,Train
165,Sopo_Sur,2018-10-01,2019-09-01,2019-10-01,Train
166,Sopo_Sur,2018-11-01,2019-10-01,2019-11-01,Train
167,Sopo_Sur,2018-12-01,2019-11-01,2019-12-01,Train
168,Sopo_Sur,2019-01-01,2019-12-01,2020-01-01,Train
169,Sopo_Sur,2019-02-01,2020-01-01,2020-02-01,Train
170,Sopo_Sur,2019-03-01,2020-02-01,2020-03-01,Train
171,Sopo_Sur,2019-04-01,2020-03-01,2020-04-01,Train
172,Sopo_Sur,2019-05-01,2020-04-01,2020-05-01,Train
173,Sopo_Sur,2019-06-01,2020-05-01,2020-06-01,Train
174,Sopo_Sur,2019-07-01,2020-06-01,2020-07-01,Train
175,Sopo_Sur,2019-08-01,2020-07-01,2020-08-01,Train
176,Sopo_Sur,2019-09-01,2020-08-01,2020-09-01,Train
177,Sopo_Sur,2019-10-01,2020-09-01,2020-10-01,Train
178,Sopo_Sur,2019-11-01,2020-10-01,2020-11-01,Train
179,Sopo_Sur,2019-12-01,2020-11-01,2020-12-01,Train
180,Sopo_Sur,2020-01-01,2020-12-01,2021-01-01,Train
181,Sopo_Sur,2020-02-01,2021-01-01,2021-02-01,Train
182,Sopo_Sur,2020-03-01,2021-02-01,2021-03-01,Train
183,Sopo_Sur,2020-04-01,2021-03-01,2021-04-01,Train
184,Sopo_Sur,2020-05-01,2021-04-01,2021-05-01,Train
185,Sopo_Sur,2020-06-01,2021-05-01,2021-06-01,Train
186,Sopo_Sur,2020-07-01,2021-06-01,2021-07-01,Train
187,Sopo_Sur,2020-08-01,2021-07-01,2021-08-01,Train
188,Sopo_Sur,2020-09-01,2021-08-01,2021-09-01,Train
189,Sopo_Sur,2020-10-01,2021-09-01,2021-10-01,Train
190,Sopo_Sur,2020-11-01,2021-10-01,2021-11-01,Train
191,Sopo_Sur,2020-12-01,2021-11-01,2021-12-01,Train
192,Sopo_Sur,2021-01-01,2021-12-01,2022-01-01,Train
193,Sopo_Sur,2021-02-01,2022-01-01,2022-02-01,Train
194,Sopo_Sur,2021-03-01,2022-02-01,2022-03-01,Train
195,Sopo_Sur,2021-04-01,2022-03-01,2022-04-01,Train
196,Sopo_Sur,2021-05-01,2022-04-01,2022-05-01,Train
197,Sopo_Sur,2021-06-01,2022-05-01,2022-06-01,Train
198,Sopo_Sur,2021-07-01,2022-06-01,2022-07-01,Train
199,Sopo_Sur,2021-08-01,2022-07-01,2022-08-01,Train
200,Sopo_Sur,2021-09-01,2022-08-01,2022-09-01,Train
