FechaPublicacion,Fecha,CodigoEmbalse,RegionHidrologica,CapacidadUtilMasa,VolumenUtilDiarioMasa,VolumenTotalMasa,VertimientosMasa
2023-12-19,2019-10-13,AGREGADO_SIN,Colombia,13321490000,8854923000,11581933000,265507
2023-12-19,2019-10-13,PLAYAS,Antioquia,49160000,37690000,57620000,0
2023-12-19,2019-10-13,PORCE3,Antioquia,130870000,68554000,98324000,0
2023-12-19,2019-10-13,AGREGADO_BOGOTA,Centro,825890000,394462000,394462000,0
2023-12-19,2019-10-13,MIEL1,Caldas,441380000,344990000,394910000,0
2023-12-19,2019-10-13,BETANIA,Centro,755980000,549400000,993470000,0
2023-12-19,2019-10-13,ESMERALD,Oriente,587590000,381516000,404816000,0
2023-12-19,2019-10-13,CHUZA,Oriente,215190000,221491000,231591000,0
2023-12-19,2019-10-13,GUAVIO,Oriente,764340000,710729000,728439000,0
2023-12-19,2019-10-13,SALVAJIN,Valle,714740000,140210000,233850000,0
2023-12-19,2019-10-13,MUNA,Centro,12640000,7580000,7630000,0
2023-12-19,2019-10-13,ELQUIMBO,Centro,2360260000,2002450000,2447890000,0
2023-12-19,2019-10-13,MIRAFLOR,Antioquia,96580000,61717000,67357000,0
2023-12-19,2019-10-13,CALIMA1,Valle,424660000,247410000,352930000,0
2023-12-19,2019-10-13,URRA1,Caribe,1237910000,1010350000,1366560000,0
2023-12-19,2019-10-13,SANLOREN,Antioquia,161860000,113260000,130460000,0
2023-12-19,2019-10-13,PUNCHINA,Antioquia,41890000,16190000,30890000,0
2023-12-19,2019-10-13,PRADO,Centro,420660000,205760000,535780000,0
2023-12-19,2019-10-13,TRONERAS,Antioquia,21900000,18235000,26875000,265507
2023-12-19,2019-10-13,RIOGRAN2,Antioquia,137060000,60851000,109661000,0
2023-12-19,2019-10-13,PENOL,Antioquia,1044020000,688654000,766484000,0
2023-12-19,2019-10-13,ALTOANCH,Valle,31780000,13750000,20470000,0
2023-12-19,2019-10-13,SOGAMOSO,Centro,2756310000,1503510000,2085100000,0
2023-12-19,2019-10-13,PORCE2,Antioquia,88820000,56164000,96364000,0
2023-12-19,2021-02-08,PUNCHINA,Antioquia,43920000,20860000,34780000,0
2023-12-19,2021-02-08,PLAYAS,Antioquia,49160000,48485000,68415000,0
2023-12-19,2021-02-08,PORCE3,Antioquia,131300000,65585000,95055000,0
2023-12-19,2021-02-08,BETANIA,Centro,736350000,581983000,1037483000,0
2023-12-19,2021-02-08,PORCE2,Antioquia,88820000,37963000,78163000,0
2023-12-19,2021-02-08,PRADO,Centro,427220000,275450000,606240000,0
2023-12-19,2021-02-08,ESMERALD,Oriente,582920000,335676000,356386000,0
2023-12-19,2021-02-08,MUNA,Centro,12640000,4470000,4520000,0
2023-12-19,2021-02-08,CALIMA1,Valle,424660000,274000000,379520000,0
2023-12-19,2021-02-08,SOGAMOSO,Centro,2694230000,1311390000,1876020000,0
2023-12-19,2021-02-08,PENOL,Antioquia,1044020000,874083000,951913000,0
2023-12-19,2021-02-08,SALVAJIN,Valle,714740000,313550000,407190000,0
2023-12-19,2021-02-08,SANLOREN,Antioquia,161860000,126360000,143560000,0
2023-12-19,2021-02-08,AGREGADO_SIN,Colombia,13232000000,7728662000,10442722000,0
2023-12-19,2021-02-08,MIEL1,Caldas,427530000,373030000,419310000,0
2023-12-19,2021-02-08,URRA1,Caribe,1237910000,946730000,1302940000,0
2023-12-19,2021-02-08,RIOGRAN2,Antioquia,138780000,98957000,146887000,0
2023-12-19,2021-02-08,TRONERAS,Antioquia,21900000,12162000,20802000,0
2023-12-19,2021-02-08,ELQUIMBO,Centro,2360260000,1122382000,1567822000,0
2023-12-19,2021-02-08,AGREGADO_BOGOTA,Centro,825890000,303897000,303897000,0
2023-12-19,2021-02-08,GUAVIO,Oriente,764340000,408792000,426502000,0
2023-12-19,2021-02-08,MIRAFLOR,Antioquia,96580000,69764000,75404000,0
2023-12-19,2021-02-08,CHUZA,Oriente,215190000,119833000,129933000,0
2023-12-19,2021-02-08,ALTOANCH,Valle,31780000,3260000,9980000,0
2023-12-19,2020-11-27,ALTOANCH,Valle,31780000,2850000,9570000,0
2023-12-19,2020-11-27,ESMERALD,Oriente,582920000,499593000,520303000,0
2023-12-19,2020-11-27,TRONERAS,Antioquia,21900000,14233000,22873000,0
2023-12-19,2020-11-27,SALVAJIN,Valle,714740000,160600000,254240000,0
2023-12-19,2020-11-27,BETANIA,Centro,736350000,595693000,1051193000,0
2023-12-19,2020-11-27,SOGAMOSO,Centro,2756310000,2704810000,3286400000,18259776
2023-12-19,2020-11-27,URRA1,Caribe,1237910000,1082960000,1439170000,0
2023-12-19,2020-11-27,AGREGADO_SIN,Colombia,13294080000,10025788000,12756808000,20643724
2023-12-19,2020-11-27,PUNCHINA,Antioquia,43920000,40950000,54870000,0
2023-12-19,2020-11-27,PRADO,Centro,427220000,314740000,645530000,0
2023-12-19,2020-11-27,PORCE3,Antioquia,131300000,97276000,126746000,0
2023-12-19,2020-11-27,SANLOREN,Antioquia,161860000,138530000,155730000,0
2023-12-19,2020-11-27,GUAVIO,Oriente,764340000,613324000,631034000,0
2023-12-19,2020-11-27,MIEL1,Caldas,427530000,384540000,430820000,0
2023-12-19,2020-11-27,PORCE2,Antioquia,88820000,60234000,100434000,0
2023-12-19,2020-11-27,PENOL,Antioquia,1044020000,1010438000,1088268000,0
2023-12-19,2020-11-27,MIRAFLOR,Antioquia,96580000,71527000,77167000,0
2023-12-19,2020-11-27,CHUZA,Oriente,215190000,189756000,199856000,0
2023-12-19,2020-11-27,PLAYAS,Antioquia,49160000,52994000,72924000,1654646
2023-12-19,2020-11-27,CALIMA1,Valle,424660000,223900000,329420000,0
2023-12-19,2020-11-27,AGREGADO_BOGOTA,Centro,825890000,334104000,334104000,0
2023-12-19,2020-11-27,MUNA,Centro,12640000,12360000,12410000,0
2023-12-19,2020-11-27,ELQUIMBO,Centro,2360260000,1278522000,1723962000,0
2023-12-19,2020-11-27,RIOGRAN2,Antioquia,138780000,141854000,189784000,729302
2023-09-25,2022-11-28,TRONERAS,Antioquia,19200000,18910000,27360000,0
2023-09-25,2022-11-28,CALIMA1,Valle,424660000,399110000,504630000,0
2023-09-25,2022-11-28,AGREGADO_SIN,Colombia,13237110000,11981172000,14708182000,34771822
2023-09-25,2022-11-28,PENOL,Antioquia,1042180000,1065805000,1143645000,2406845
2023-09-25,2022-11-28,PRADO,Centro,427220000,480340000,811130000,5743940
2023-09-25,2022-11-28,PORCE2,Antioquia,85880000,67833000,106623000,0
2023-09-25,2022-11-28,PLAYAS,Antioquia,49160000,50921000,70851000,755395
2023-09-25,2022-11-28,URRA1,Caribe,1213370000,1208920000,1562930000,7974700
2023-09-25,2022-11-28,ESMERALD,Oriente,582920000,559251000,579961000,0
2023-09-25,2022-11-28,PORCE3,Antioquia,131300000,85458000,114928000,0
2023-09-25,2022-11-28,MIEL1,Caldas,427530000,403050000,449330000,0
2023-09-25,2022-11-28,MIRAFLOR,Antioquia,137120000,140220000,145540000,0
2023-09-25,2022-11-28,CHUZA,Oriente,215190000,148424000,158524000,0
2023-09-25,2022-11-28,GUAVIO,Oriente,756830000,713000000,728700000,0
2023-09-25,2022-11-28,RIOGRAN2,Antioquia,138780000,148550000,196480000,3743280
2023-09-25,2022-11-28,BETANIA,Centro,736350000,709068000,1164568000,2092176
2023-09-25,2022-11-28,ALTOANCH,Valle,31780000,22480000,29200000,0
2023-09-25,2022-11-28,SALVAJIN,Valle,714740000,270610000,364250000,0
2023-09-25,2022-11-28,AGREGADO_BOGOTA,Centro,895870000,560741000,560741000,0
2023-09-25,2022-11-28,ELQUIMBO,Centro,2295040000,2122850000,2587670000,0
2023-09-25,2022-11-28,PUNCHINA,Antioquia,43920000,21480000,35400000,0
2023-09-25,2022-11-28,SANLOREN,Antioquia,161510000,169520000,186380000,5857920
2023-09-25,2022-11-28,SOGAMOSO,Centro,2694230000,2603280000,3167910000,6197566
2023-09-25,2022-11-28,MUNA,Centro,12330000,11351000,11431000,0
2023-12-19,2020-09-14,CALIMA1,Valle,424660000,254570000,360090000,0
2023-12-19,2020-09-14,PUNCHINA,Antioquia,43920000,27690000,41610000,0
2023-12-19,2020-09-14,SANLOREN,Antioquia,161860000,152520000,169720000,0
2023-12-19,2020-09-14,ESMERALD,Oriente,582920000,462237000,482947000,0
2023-12-19,2020-09-14,ELQUIMBO,Centro,2360260000,1559070000,2004510000,0
2023-12-19,2020-09-14,URRA1,Caribe,1237910000,931150000,1287360000,0
2023-12-19,2020-09-14,TRONERAS,Antioquia,21900000,15850000,24490000,0
2023-12-19,2020-09-14,AGREGADO_BOGOTA,Centro,825890000,329623000,329623000,0
2023-12-19,2020-09-14,MIRAFLOR,Antioquia,96580000,41392000,47032000,0
2023-12-19,2020-09-14,PLAYAS,Antioquia,49160000,38060000,57990000,0
2023-12-19,2020-09-14,BETANIA,Centro,736350000,628163000,1083663000,0
2023-12-19,2020-09-14,RIOGRAN2,Antioquia,138780000,96833000,144763000,0
2023-12-19,2020-09-14,PORCE2,Antioquia,88820000,73512000,113712000,0
2023-12-19,2020-09-14,GUAVIO,Oriente,764340000,643120000,660830000,0
2023-12-19,2020-09-14,PENOL,Antioquia,1044020000,782844000,860674000,0
2023-12-19,2020-09-14,SALVAJIN,Valle,714740000,158840000,252480000,0
2023-12-19,2020-09-14,MIEL1,Caldas,427530000,349060000,395340000,0
2023-12-19,2020-09-14,CHUZA,Oriente,215190000,202523000,212623000,0
2023-12-19,2020-09-14,SOGAMOSO,Centro,2756310000,1621220000,2202810000,0
2023-12-19,2020-09-14,ALTOANCH,Valle,31780000,11950000,18670000,0
2023-12-19,2020-09-14,PRADO,Centro,427220000,186610000,517400000,0
2023-12-19,2020-09-14,PORCE3,Antioquia,131300000,81488000,110958000,0
2023-12-19,2020-09-14,AGREGADO_SIN,Colombia,13294080000,8652225000,11383245000,0
2023-12-19,2020-09-14,MUNA,Centro,12640000,3900000,3950000,0
2023-12-19,2019-11-24,ELQUIMBO,Centro,2360260000,1905870000,2351310000,0
2023-12-19,2019-11-24,PRADO,Centro,420660000,405100000,735120000,0
2023-12-19,2019-11-24,SANLOREN,Antioquia,161860000,140150000,157350000,0
2023-12-19,2019-11-24,AGREGADO_BOGOTA,Centro,825890000,385989000,385989000,0
2023-12-19,2019-11-24,ESMERALD,Oriente,587590000,274665000,297965000,0
2023-12-19,2019-11-24,CALIMA1,Valle,424660000,320170000,425690000,0
2023-12-19,2019-11-24,BETANIA,Centro,755980000,579810000,1023880000,0
2023-12-19,2019-11-24,SALVAJIN,Valle,714740000,344760000,438400000,0
2023-12-19,2019-11-24,MIEL1,Caldas,441380000,419890000,469810000,0
2023-12-19,2019-11-24,PUNCHINA,Antioquia,41890000,26700000,41400000,0
2023-12-19,2019-11-24,PENOL,Antioquia,1044020000,790488000,868318000,0
2023-12-19,2019-11-24,MUNA,Centro,12640000,10670000,10720000,0
2023-12-19,2019-11-24,URRA1,Caribe,1237910000,1092220000,1448430000,0
2023-12-19,2019-11-24,MIRAFLOR,Antioquia,96580000,79318000,84958000,0
2023-12-19,2019-11-24,AGREGADO_SIN,Colombia,13321490000,10336555000,13063565000,0
2023-12-19,2019-11-24,SOGAMOSO,Centro,2756310000,2352650000,2934240000,0
2023-12-19,2019-11-24,PORCE2,Antioquia,88820000,47397000,87597000,0
2023-12-19,2019-11-24,PORCE3,Antioquia,130870000,95531000,125301000,0
2023-12-19,2019-11-24,CHUZA,Oriente,215190000,196895000,206995000,0
2023-12-19,2019-11-24,ALTOANCH,Valle,31780000,9990000,16710000,0
2023-12-19,2019-11-24,TRONERAS,Antioquia,21900000,13700000,22340000,0
2023-12-19,2019-11-24,RIOGRAN2,Antioquia,137060000,121652000,170462000,0
2023-12-19,2019-11-24,PLAYAS,Antioquia,49160000,30810000,50740000,0
2023-12-19,2019-11-24,GUAVIO,Oriente,764340000,692130000,709840000,0
2023-12-19,2020-11-24,SANLOREN,Antioquia,161860000,140820000,158020000,0
2023-12-19,2020-11-24,PUNCHINA,Antioquia,43920000,40320000,54240000,0
2023-12-19,2020-11-24,BETANIA,Centro,736350000,629821000,1085321000,0
2023-12-19,2020-11-24,AGREGADO_BOGOTA,Centro,825890000,333282000,333282000,0
2023-12-19,2020-11-24,MIRAFLOR,Antioquia,96580000,70734000,76374000,0
2023-12-19,2020-11-24,PENOL,Antioquia,1044020000,1015394000,1093224000,0
2023-12-19,2020-11-24,MUNA,Centro,12640000,11890000,11940000,0
2023-12-19,2020-11-24,CALIMA1,Valle,424660000,220410000,325930000,0
2023-12-19,2020-11-24,MIEL1,Caldas,427530000,382100000,428380000,0
2023-12-19,2020-11-24,URRA1,Caribe,1237910000,1073230000,1429440000,0
